Name,Speciality_of_doctor,Degree,Years_Of_Experience,Location,City,dp_score(percentage),npv,consultation_fee
Dr. Parameshwara C M,Ophthalmologist,"MBBS, MS - General Surgery",28,HBR Layout, Bangalore,94,138,700
Dr. Shiva Kumar,Ophthalmologist,"MBBS, DNB - General Surgery",10,HSR Layout, Bangalore,72,18,499
Dr. Vamsi Krishna M,Ophthalmologist,"MBBS, MS - General Surgery",24,Whitefield, Bangalore,0,0,500
Dr. Vijay C R Reddy,Ophthalmologist,"MS - General Surgery, MBBS",27,HSR Layout, Bangalore,92,26,599
Dr. Maruthesh Gowda,Ophthalmologist,"MBBS, FRCS - General Surgery, MRCS (UK)",18,Hegde Nagar, Bangalore,95,1116,600
Dr. Mahesh Chikkachannappa,Ophthalmologist,"MBBS, MS - General Surgery",23,Hebbal, Bangalore,90,20,900
Dr. Kiran K J,Ophthalmologist,"MBBS, MS - General Surgery",18,Konanakunte, Bangalore,91,58,500
Dr. Gautham S L,Ophthalmologist,"MS - General Surgery, MBBS",14,Arekere, Bangalore,99,160,500
Dr. Praveen S,Ophthalmologist,"MBBS, MS - General Surgery",15,Hebbal, Bangalore,0,0,800
Dr. Priyanka Akhilesh Sali,Ophthalmologist,"MBBS, DNB - General Surgery",14,Indiranagar, Bangalore,91,11,599
Dr. Prashanth J.V,Ophthalmologist,"MBBS, MS - General Surgery",27,BTM Layout 1st Stage, Bangalore,97,68,700
Dr. Nanda Rajaneesh,Ophthalmologist,"MBBS, MS - General Surgery, Training in Surgical Oncology (G.I. Oncology)",27,Koramangala 5 Block, Bangalore,84,193,600
Dr. Ravishankar Bhat,Ophthalmologist,"MBBS, MS - General Surgery, DNB - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",31,Bannerghatta Road, Bangalore,94,174,850
Dr. H V Shivaram,Ophthalmologist,"MBBS, MS - General Surgery, FRCS - General Surgery (Upper GI)",39,Hebbal, Bangalore,95,38,900
Dr. Abdul Razack.G.S,Ophthalmologist,"MBBS, MS - General Surgery",20,Jayanagar 9 Block, Bangalore,82,17,650
Dr. Saurabh Misra,Ophthalmologist,"MBBS, MS - General Surgery, FICS",26,Bannerghatta Road, Bangalore,85,13,1000
Dr. Manas Ranjan Tripathy,Ophthalmologist,"MBBS, MS - General Surgery",17,HSR Layout, Bangalore,97,149,750
Dr. Muralidhar S. Kathalagiri,Ophthalmologist,"MBBS, MS - General Surgery",20,Yeshwanthpur, Bangalore,97,178,500
Dr. Sumit Talwar,Ophthalmologist,"MBBS, MS - General Surgery",29,Old Airport Road, Bangalore,90,21,750
Dr. Sunil Kumar B Alur,Ophthalmologist,"MBBS, DNB - General Surgery",24,Jayanagar, Bangalore,98,46,499
Dr. Ramesh Makam,Ophthalmologist,"MBBS, DNB - General Surgery",33,Bannerghatta Road, Bangalore,91,44,850
Dr. C.Prashanth,Ophthalmologist,"MBBS, MS - General Surgery",29,Koramangala 5 Block, Bangalore,0,0,650
Dr. Manish Joshi,Ophthalmologist,"MBBS, MS - General Surgery, MRCS (UK), DNB - Surgical Gastroenterology",22,Sampangiramnagar, Bangalore,88,42,900
Dr. Anand N S,Ophthalmologist,"MBBS, DNB - General Surgery, Fellowship in Minimal Invasive Surgery",19,Yeshwanthpur, Bangalore,0,0,950
Dr. Sampath Kumar,Ophthalmologist,"DNB - General Surgery, MBBS",22,Old Airport Road, Bangalore,68,19,750
Dr. Sreedhara V Setty,Ophthalmologist,"MBBS, DNB - General Surgery",19,Electronics City, Bangalore,96,72,650
