,Name,Degree,Years_Of_Experience,Speciality_of_doctor,Location,City,dp_score,npv,consultation_fee
0,Dr. Ramnaresh Soudri,"MBBS, MD - General Medicine, DM - Cardiology",5 Years Experience Overall,Cardiologist,"HSR Layout, Bangalore",Bangalore,96%,(28 votes),₹700
1,Dr. Roopa. R,"MBBS, MD - General Medicine, DNB - Cardiology",23 Years Experience Overall  (11 years as specialist),Cardiologist,"Banashankari 2nd Stage, Bangalore",Bangalore,95%,(172 votes),₹650
2,Dr. Balaraju D,"MD - General Medicine, DNB - Cardiology, MBBS",12 Years Experience Overall  (6 years as specialist),Cardiologist,"Jayanagar 9 Block, Bangalore",Bangalore,0,0,₹750
3,Dr. N Praveen Kumar,"MBBS, MD - General Medicine, Fellowship in Non-Invasive Cardiology (FIC)",15 Years Experience Overall,Cardiologist,"Yelahanka, Bangalore",Bangalore,90%,(101 votes),₹500
4,Dr. Srinivas Prasad B V,"MBBS, MD - Medicine, DM - Cardiology",21 Years Experience Overall  (5 years as specialist),Cardiologist,"Jayanagar 4 Block, Bangalore",Bangalore,100%,(19 votes),₹600
5,Dr. Nagaraja Moorthy,"MBBS, MD - General Medicine, DM - Cardiology",19 Years Experience Overall  (10 years as specialist),Cardiologist,"Hulimavu, Bangalore",Bangalore,99%,(206 votes),₹700
6,Dr. Prabhakar C Koregol,"DM - Cardiology, MD - General Medicine, MBBS",23 Years Experience Overall  (15 years as specialist),Cardiologist,"Malleswaram, Bangalore",Bangalore,97%,(1553 votes),₹700
7,Dr. Nataraja Setty,"MBBS, MD - General Medicine, DM - Cardiology",19 Years Experience Overall  (8 years as specialist),Cardiologist,"JP Nagar 6 Phase, Bangalore",Bangalore,99%,(184 votes),₹700
8,Dr. Jai Babu,"MBBS, MD - Medicine, DM - Cardiology",18 Years Experience Overall  (14 years as specialist),Cardiologist,"Marathahalli, Bangalore",Bangalore,98%,(85 votes),₹600
9,Dr. AV Praveen Kumar,"MBBS, DNB - General Medicine, DNB - Cardiology",23 Years Experience Overall  (10 years as specialist),Cardiologist,"HBR Layout, Bangalore",Bangalore,98%,(129 votes),₹900
10,Dr. Govardhan Reddy K,"MBBS, DNB - Cardiothoracic Surgery",17 Years Experience Overall  (4 years as specialist),Cardiologist,"Sahakaranagar, Bangalore",Bangalore,100%,(18 votes),₹600
11,Dr. Shivanand S Patil,"MBBS, MD - General Medicine, DM - Cardiology",23 Years Experience Overall  (13 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",Bangalore,95%,(86 votes),₹900
12,Dr. Rajpal Singh RL,"MBBS, MRCP (UK), CCT - Cardiology",23 Years Experience Overall  (14 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",Bangalore,87%,(52 votes),₹900
13,Dr. Nagamani A.C,"DM - Cardiology, MBBS",22 Years Experience Overall  (21 years as specialist),Cardiologist,"Koramangala 5 Block, Bangalore",Bangalore,95%,(22 votes),₹850
14,Dr. Prajith Pasam,"MBBS, MD - General Medicine, DM - Cardiology",9 Years Experience Overall,Cardiologist,"HSR Layout, Bangalore",Bangalore,0,0,₹600
15,Dr. Santhosh Kumar,"DM - Cardiology, MD - General Medicine, MBBS",18 Years Experience Overall  (8 years as specialist),Cardiologist,"JP Nagar 7 Phase, Bangalore",Bangalore,0,0,₹600
16,Dr. Ashok Kumar P,"MBBS, MD - General Medicine, DM - Cardiology",31 Years Experience Overall  (11 years as specialist),Cardiologist,"Vasanthnagar, Bangalore",Bangalore,0,0,₹700
17,Dr. Kapil Rangan,"MBBS, MD - General Medicine, DM - Cardiology",19 Years Experience Overall  (13 years as specialist),Cardiologist,"Kundalahalli, Bangalore",Bangalore,87%,(15 votes),₹850
18,Dr. Srinivas V K,"MBBS, MD - General Medicine, DM - Cardiology",38 Years Experience Overall  (28 years as specialist),Cardiologist,"Ashoknagar, Bangalore",Bangalore,0,0,₹800
19,Dr. B. Ramesh,"DM - Cardiology, MD - General Medicine, MBBS",36 Years Experience Overall  (32 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",Bangalore,98%,(983 votes),₹1000
20,Dr. Jayaranganath M,"MBBS, MD - General Medicine, DM - Cardiology",34 Years Experience Overall  (26 years as specialist),Cardiologist,"Seshadripuram, Bangalore",Bangalore,91%,(22 votes),₹740
21,Dr. K. S. S. Bhat,"MBBS, MD - General Medicine, FACC, Diploma in Tuberculosis and Chest Diseases (DTCD)",42 Years Experience Overall,Cardiologist,"Old Airport Road, Bangalore",Bangalore,0,0,₹900
22,Dr. Raghavendra Chikkatur,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",22 Years Experience Overall  (17 years as specialist),Cardiologist,"Kengeri, Bangalore",Bangalore,88%,(24 votes),₹700
23,Dr. Sunil Kumar S,"MBBS, MD - General Medicine, DM - Cardiology, Fellowship In Interventional  Cardiology",18 Years Experience Overall  (9 years as specialist),Cardiologist,"Hebbal, Bangalore",Bangalore,100%,(44 votes),₹1000
24,Dr. K P Srihari Das,"MBBS, MD - General Medicine, DM - Cardiology",28 Years Experience Overall  (18 years as specialist),Cardiologist,"Jayanagar 9 Block, Bangalore",Bangalore,98%,(61 votes),₹750
25,Dr. Abhijit Vilas Kulkarni,"MBBS, DM - Cardiology, MD - General Medicine",20 Years Experience Overall  (11 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",Bangalore,97%,(32 votes),₹1000
26,Dr. Venkatesh S,"MBBS, MD - Medicine, DM - Cardiology",28 Years Experience Overall  (19 years as specialist),Cardiologist,"JP Nagar, Bangalore",Bangalore,97%,(35 votes),₹950
27,Dr. C.M Nagesh,"MBBS, MD - General Medicine, DM - Cardiology",23 Years Experience Overall  (13 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",Bangalore,100%,(13 votes),₹1000
28,Dr. Sanjay Bhat,"MBBS, MD - General Medicine, DNB - Cardiology, MNAMS - Cardiology",15 Years Experience Overall  (13 years as specialist),Cardiologist,"Hebbal, Bangalore",Bangalore,83%,(54 votes),₹900
29,Dr. Girish B Navasundi,"MBBS, MD - General Medicine, DNB - Cardiology",24 Years Experience Overall  (16 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",Bangalore,86%,(28 votes),₹1000
30,Dr. Venkatesh T K,"MBBS, MD - General Medicine, DNB - Cardiology",36 Years Experience Overall  (12 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",Bangalore,0,0,₹1000
31,Dr. Ranjan Shetty,"MBBS, MD - Medicine, DM - Cardiology",20 Years Experience Overall  (14 years as specialist),Cardiologist,"Old Airport Road, Bangalore",Bangalore,92%,(85 votes),₹900
32,Dr. Vithal Bagi,"MBBS, MD - General Medicine, DM - Cardiology",18 Years Experience Overall  (8 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",Bangalore,0,0,₹1000
33,Dr. Ravindranath Reddy D.R,"MBBS, MD - General Medicine, DM - Cardiology",16 Years Experience Overall,Cardiologist,"Kengeri, Bangalore",Bangalore,100%,(34 votes),₹800
34,Dr. Pradeep Kumar D,"MD - Pediatrics, MBBS, DM - Cardiology",15 Years Experience Overall,Cardiologist,"Hebbal, Bangalore",Bangalore,100%,(41 votes),₹900
35,Dr. R.S. Venkatesulu,"MBBS, MD - General Medicine, DM - Cardiology",19 Years Experience Overall  (17 years as specialist),Cardiologist,"Hebbal, Bangalore",Bangalore,67%,(12 votes),₹900
36,Dr. Kumar Kenchappa,"MBBS, MD - General Medicine, DM - Cardiology",19 Years Experience Overall  (6 years as specialist),Cardiologist,"Hebbal, Bangalore",Bangalore,98%,(63 votes),₹1000
37,Dr. K B Prasad,"MBBS, MD - General Medicine, DM - Cardiology",19 Years Experience Overall,Cardiologist,"Bannerghatta Road, Bangalore",Bangalore,0,0,₹1000
38,Dr. S. S. Iyengar,"MBBS, MD - General Medicine, DM - Cardiology,  FRCP",53 Years Experience Overall  (46 years as specialist),Cardiologist,"Old Airport Road, Bangalore",Bangalore,0,0,₹900
39,Dr. Lakshmikanth P,"MBBS, MD - General Medicine, DM - Cardiology",16 Years Experience Overall  (8 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",Bangalore,0,0,₹1000
40,Dr. Ganesh Nallur Shivu,"MBBS, PhD - Cardiology, MRCP (UK)",21 Years Experience Overall  (9 years as specialist),Cardiologist,"Electronics City, Bangalore",Bangalore,96%,(23 votes),₹700
41,Dr. Gopi Aniyathodiyil,"MBBS, MD - General Medicine, DM - Cardiology",34 Years Experience Overall  (27 years as specialist),Cardiologist,"Cunningham Road, Bangalore",Bangalore,97%,(36 votes),₹700
42,Dr. Devananda N.S,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",31 Years Experience Overall  (22 years as specialist),Cardiologist,"Old Airport Road, Bangalore",Bangalore,86%,(14 votes),₹900
43,Dr. Anand Shenoy,"MBBS, MD - General Medicine, DM - Cardiology, FSCAI",22 Years Experience Overall  (16 years as specialist),Cardiologist,"Old Airport Road, Bangalore",Bangalore,64%,(39 votes),₹900
44,Dr. Keshav R,"MD - General Medicine, DNB - Cardiology, MBBS",34 Years Experience Overall  (30 years as specialist),Cardiologist,"Cunningham Road, Bangalore",Bangalore,97%,(59 votes),₹700
45,Dr. Ashwin M Daware,"MBBS, MD - General Medicine, DNB - Cardiology",22 Years Experience Overall  (13 years as specialist),Cardiologist,"Whitefield, Bangalore",Bangalore,90%,(181 votes),₹700
46,Dr. Sridhara N,"MBBS, MD - General Medicine, DM - Cardiology",26 Years Experience Overall  (17 years as specialist),Cardiologist,"Rajajinagar, Bangalore",Bangalore,94%,(50 votes),₹630
47,Dr. G Vivek,"DM - Cardiology, MD - General Medicine, DNB - General Medicine, MBBS",18 Years Experience Overall  (11 years as specialist),Cardiologist,"Vijayanagar, Bangalore",Bangalore,100%,(87 votes),₹800
48,Dr. Sridhara G,"MBBS, DM - Cardiology",25 Years Experience Overall  (17 years as specialist),Cardiologist,"Old Airport Road, Bangalore",Bangalore,90%,(21 votes),₹900
49,Dr. Ramesh S S,"MBBS, MD - General Medicine, DM - Cardiology",48 Years Experience Overall  (41 years as specialist),Cardiologist,"Malleswaram, Bangalore",Bangalore,0,0,₹500
50,Dr. Nagesh H E,"MBBS, MD - General Medicine, DNB - Cardiology",26 Years Experience Overall  (14 years as specialist),Cardiologist,"Malleswaram, Bangalore",Bangalore,100%,(25 votes),₹750
51,Dr. B.S. Chakrapani,"MBBS, DM - Cardiology, DNB - General Medicine",37 Years Experience Overall  (35 years as specialist),Cardiologist,"Old Airport Road, Bangalore",Bangalore,94%,(31 votes),₹900
52,Dr. Karthik Vasudevan,"MBBS, DNB - General Medicine, DM - Cardiology",18 Years Experience Overall,Cardiologist,"Yeshwanthpur, Bangalore",Bangalore,0,0,₹950
53,Dr. Lalchand Bandagi,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",19 Years Experience Overall  (9 years as specialist),Cardiologist,"Old Airport Road, Bangalore",Bangalore,0,0,₹900
54,Dr. Vithal.D.Bagi,"MBBS, MD - General Medicine, DM - Cardiology, DNB - Cardiology",7 Years Experience Overall,Cardiologist,"Bannerghatta Road, Bangalore",Bangalore,0,0,₹1000
55,Dr. Shashidhar,"MBBS, MD - General Medicine, DM - Cardiology",32 Years Experience Overall  (20 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",Bangalore,85%,(13 votes),₹900
56,Dr. Gnanadev N C,"MBBS, MD - General Medicine, DNB - Cardiology",20 Years Experience Overall  (3 years as specialist),Cardiologist,"Kengeri, Bangalore",Bangalore,0,0,₹800
57,Dr. Chandan Saurav Mahapatro,"MBBS, MD - General Medicine, DM - Cardiology",7 Years Experience Overall,Cardiologist,"Hebbal, Bangalore",Bangalore,0,0,₹1000
58,Dr. Srikanth K V,"MBBS, MD - General Medicine, DM - Cardiology",24 Years Experience Overall  (16 years as specialist),Cardiologist,"Hosur Road, Bangalore",Bangalore,97%,(89 votes),₹1000
59,Dr. Nagaraj Desai,"MBBS, MD - General Medicine, DM - Cardiology",47 Years Experience Overall  (40 years as specialist),Cardiologist,"Cunningham Road, Bangalore",Bangalore,100%,(11 votes),₹700
60,Dr. Vikram Kolhari,"MBBS, MD - General Medicine, DM - Cardiology",18 Years Experience Overall  (9 years as specialist),Cardiologist,"Seshadripuram, Bangalore",Bangalore,0,0,₹740
61,Dr. Raghunandan,"MBBS, DNB - General Medicine, DNB - Cardiology",27 Years Experience Overall  (10 years as specialist),Cardiologist,"Malleswaram, Bangalore",Bangalore,100%,(28 votes),₹750
62,Dr. P Ranganath Nayak,"MBBS, DM - Cardiology, DNB - General Medicine, MD - General Medicine",22 Years Experience Overall,Cardiologist,"Millers Road, Bangalore",Bangalore,100%,(18 votes),₹1000
63,Dr. Yeriswamy M.C,"DM - Cardiology, MBBS",17 Years Experience Overall  (15 years as specialist),Cardiologist,"Basavanagudi, Bangalore",Bangalore,0,0,₹300
64,Dr. Murali Krishna,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",23 Years Experience Overall  (16 years as specialist),Cardiologist,"Old Airport Road, Bangalore",Bangalore,0,0,₹900
65,Dr. P. Padmakumar,"MBBS, MD - General Medicine, DM - Cardiology",45 Years Experience Overall  (35 years as specialist),Cardiologist,"Old Airport Road, Bangalore",Bangalore,83%,(24 votes),₹900
66,Dr. Pavankumar Rasalkar,"MD - Medicine, DM - Cardiology, MBBS",13 Years Experience Overall  (6 years as specialist),Cardiologist,"Rajajinagar, Bangalore",Bangalore,99%,(225 votes),₹700
67,Dr. Arun B S,"MBBS, MD - General Medicine, DM - Cardiology",10 Years Experience Overall  (2 years as specialist),Cardiologist,"Electronics City, Bangalore",Bangalore,0,0,₹700
68,Dr. Rangaraja,"MBBS, MD - General Medicine, DM - Cardiology",35 Years Experience Overall  (27 years as specialist),Cardiologist,"Cunningham Road, Bangalore",Bangalore,86%,(21 votes),₹700
69,Dr. Anand Kumar M,"MBBS, MD - General Medicine, DM - Cardiology",17 Years Experience Overall  (5 years as specialist),Cardiologist,"Nagasandra, Bangalore",Bangalore,100%,(18 votes),₹600
70,Dr. Shilpa Jayaprakash,"MBBS, MD - General Medicine, DM - Cardiology",6 Years Experience Overall,Cardiologist,"JP Nagar 7 Phase, Bangalore",Bangalore,0,0,₹800
71,Dr. Rahul Patil,"MBBS, MD - General Medicine, DM - Cardiology",13 Years Experience Overall  (5 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",Bangalore,0,0,₹850
72,Dr. Charit Bhograj,"MD - General Medicine, DM - Cardiology, MBBS",20 Years Experience Overall  (13 years as specialist),Cardiologist,"Millers Road, Bangalore",Bangalore,92%,(13 votes),₹1000
73,Dr. Praveen Kumar,"MBBS, MD - General Medicine, DM - Cardiology",13 Years Experience Overall  (5 years as specialist),Cardiologist,"Bannerghatta Road, Bangalore",Bangalore,0,0,₹700
74,Dr. Divakar Bhat,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",32 Years Experience Overall  (22 years as specialist),Cardiologist,"JP Nagar, Bangalore",Bangalore,0,0,₹950
75,Dr. Prasanna Katti,"MBBS, MD - General Medicine, DM - Cardiology",19 Years Experience Overall  (10 years as specialist),Cardiologist,"Seshadripuram, Bangalore",Bangalore,0,0,₹740
