,Name,Degree,Years_Of_Experience,Speciality_of_doctor,Location,City,dp_score,npv,consultation_fee
0,Dr. Maruthesh Gowda,"MBBS, FRCS - General Surgery, MRCS (UK)",18 Years Experience Overall  (13 years as specialist),Gastroenterologist,"Hegde Nagar, Bangalore",Bangalore,95%,(1116 votes),₹600
1,Dr. Shabir Ahmed,"MBBS, DM - Gastroenterology",29 Years Experience Overall,Gastroenterologist,"Koramangala 5 Block, Bangalore",Bangalore,63%,(24 votes),₹600
2,Dr. Rupesh Kalyan,"MBBS, MD - General Medicine, DM - Gastroenterology",19 Years Experience Overall  (10 years as specialist),Gastroenterologist,"Whitefield, Bangalore",Bangalore,86%,(28 votes),₹900
3,Dr. Prasanna Bhat K S,"MBBS, MD - General Medicine, DM - Hepatology",15 Years Experience Overall  (7 years as specialist),Gastroenterologist,"Jayanagar 9 Block, Bangalore",Bangalore,95%,(211 votes),₹800
4,Dr. U V U Vamsidhar Reddy,"MBBS, MD - General Medicine, DM - Hepatology",9 Years Experience Overall  (2 years as specialist),Gastroenterologist,"Yeshwanthpur, Bangalore",Bangalore,0,0,₹500
5,Dr. Lokesh L V,"MBBS, MD - General Medicine, DM - Gastroenterology",18 Years Experience Overall  (9 years as specialist),Gastroenterologist,"Indiranagar, Bangalore",Bangalore,85%,(78 votes),₹800
6,Dr. Amruthesh T.M,"DNB - Gastroenterology, MD - General Medicine, MBBS",20 Years Experience Overall  (10 years as specialist),Gastroenterologist,"Whitefield, Bangalore",Bangalore,81%,(100 votes),₹700
7,Dr. Sagar H C,"MBBS, MS - General Surgery, DNB - Surgical Gastroenterology",12 Years Experience Overall  (7 years as specialist),Gastroenterologist,"Banashankari 3rd Stage, Bangalore",Bangalore,0,0,₹600
8,Dr. Yashavanth H S,"MBBS, MD - General Medicine, DNB - General Medicine, DNB - Gastroenterology",5 Years Experience Overall  (3 years as specialist),Gastroenterologist,"Nagarbhavi 2nd Stage, Bangalore",Bangalore,0,0,₹700
9,Dr. Amarkishen Shetty,"MBBS, DM - Gastroenterology",33 Years Experience Overall,Gastroenterologist,"Jayanagar 9 Block, Bangalore",Bangalore,90%,(124 votes),₹750
10,Dr. Dinesh Kini,"MD - General Medicine, MBBS, DM - Gastroenterology",31 Years Experience Overall  (22 years as specialist),Gastroenterologist,"Bannerghatta Road, Bangalore",Bangalore,89%,(336 votes),₹1000
