,Name,Degree,Years_Of_Experience,Speciality_of_doctor,Location,City,dp_score,npv,consultation_fee
0,Dr. Komal Bhadu,"DGO, MBBS",9 Years Experience Overall  (7 years as specialist),Gynecologist,"Hadapsar, Pune",Pune,0,0,₹500
1,Dr. Rakhi Gupta,"MBBS, MD - Obstetrics & Gynaecology",29 Years Experience Overall  (23 years as specialist),Gynecologist,"Patparganj, Delhi",Delhi,97%,(1286 votes),₹1000
2,Dr. S Akhila Bharthi,"MBBS, DNB - Obstetrics & Gynecology",20 Years Experience Overall  (5 years as specialist),Gynecologist,"Erragadda, Hyderabad",Hyderabad,0,0,₹300
3,Dr. Tejal Poddar,"MS - Obstetrics & Gynaecology, MBBS",11 Years Experience Overall  (7 years as specialist),Gynecologist,"Opera House, Mumbai",Mumbai,98%,(115 votes),₹1000
4,Dr. Deepthi Bawa,"MBBS, MS - Obstetrics & Gynaecology",10 Years Experience Overall,Gynecologist,"HBR Layout, Bangalore",Bangalore,89%,(19 votes),₹500
5,Dr. Poornima Murthy,"MBBS, DGO, DNB - Obstetrics & Gynecology",26 Years Experience Overall,Gynecologist,"Jayanagar, Bangalore",Bangalore,95%,(193 votes),₹850
6,Dr. Kavya Jayshekar,"DGO, MBBS",15 Years Experience Overall  (1 year as specialist),Gynecologist,"Tambaram East, Chennai",Chennai,0,0,₹99
7,Dr. Indu Tandon,"MBBS, MD - Obstetrics & Gynaecology",51 Years Experience Overall  (45 years as specialist),Gynecologist,"Greater Kailash Part 2, Delhi",Delhi,0,0,₹1000
8,Dr. Pooja Sharma Dimri,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",22 Years Experience Overall  (17 years as specialist),Gynecologist,"Malad West, Mumbai",Mumbai,0,0,₹1000
9,Dr. Ruchi Bhandari,"MBBS, MS - Obstetrics & Gynaecology",11 Years Experience Overall,Gynecologist,"Saket, Delhi",Delhi,0,0,₹1000
10,Dr. Garima Srivastav,"MBBS, MD - Obstetrics & Gynaecology",10 Years Experience Overall  (7 years as specialist),Gynecologist,"Pitampura, Delhi",Delhi,93%,(56 votes),₹800
11,Dr. Ananya Polam Reddy,"MBBS, MS - Obstetrics & Gynaecology",9 Years Experience Overall  (6 years as specialist),Gynecologist,"Whitefield, Bangalore",Bangalore,97%,(152 votes),₹850
12,Dr. Suman Sabharwal,"MBBS, DGO",47 Years Experience Overall  (40 years as specialist),Gynecologist,"Karol Bagh, Delhi",Delhi,0,0,₹800
13,Dr. Syeda Iram Fatima,"MBBS, MRCP - Obstetrics & Gynecology",22 Years Experience Overall  (9 years as specialist),Gynecologist,"Gachibowli, Hyderabad",Hyderabad,93%,(30 votes),₹900
14,Dr. Jaya M Bhat,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK), Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London), DGO",49 Years Experience Overall  (45 years as specialist),Gynecologist,"Richmond Town, Bangalore",Bangalore,83%,(104 votes),₹650
15,Dr. Prameela Sekhar K,"MBBS, DGO, DNB - Obstetrics & Gynecology",36 Years Experience Overall  (23 years as specialist),Gynecologist,"Jubilee Hills, Hyderabad",Hyderabad,92%,(25 votes),₹800
16,Dr. Meghana D Sarvaiya,"MBBS, DGO, DNB - Obstetrics & Gynecology",20 Years Experience Overall  (19 years as specialist),Gynecologist,"Malad West, Mumbai",Mumbai,99%,(217 votes),₹1000
17,Dr. Geeth Monnappa,"MBBS, DGO, DNB - Obstetrics & Gynecology",18 Years Experience Overall  (16 years as specialist),Gynecologist,"Richmond Town, Bangalore",Bangalore,99%,(92 votes),₹600
18,Dr. Kusum Sahni,"MBBS, MD - Obstetrics & Gynaecology",37 Years Experience Overall  (35 years as specialist),Gynecologist,"Shalimar Bagh, Delhi",Delhi,0,0,₹1500
19,Dr. Ketan Pandit,"MBBS, MD - Obstetrics & Gynaecology",32 Years Experience Overall  (28 years as specialist),Gynecologist,"Mulund West, Mumbai",Mumbai,0,0,₹1300
20,Dr. Anita S. Chavan,"MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, FCPS - Mid. & Gynae, DGO, MBBS",22 Years Experience Overall  (19 years as specialist),Gynecologist,"Malad West, Mumbai",Mumbai,0,0,₹1200
21,Dr. Namita Kapoor Sahgal,"MBBS, MD - Obstetrics & Gynaecology",29 Years Experience Overall  (25 years as specialist),Gynecologist,"Whitefield, Bangalore",Bangalore,90%,(263 votes),₹800
22,Dr. V S Gangarani,"MBBS, DGO, DNB - Obstetrics & Gynecology",33 Years Experience Overall  (28 years as specialist),Gynecologist,"Indiranagar, Bangalore",Bangalore,69%,(13 votes),₹650
23,Dr. Santhoshini Boggarapu,"MBBS, MS - Obstetrics & Gynaecology",17 Years Experience Overall  (11 years as specialist),Gynecologist,"LB Nagar, Hyderabad",Hyderabad,0,0,₹630
24,Dr. Lakshmi Kumari,"MBBS, DGO",26 Years Experience Overall,Gynecologist,"Electronics City, Bangalore",Bangalore,100%,(16 votes),₹650
25,Dr. Krishna P Syam,"DNB - Obstetrics & Gynecology, DGO, MBBS",20 Years Experience Overall  (16 years as specialist),Gynecologist,"Kondapur, Hyderabad",Hyderabad,100%,(51 votes),₹500
26,Dr. Himanshu Singhal,"MBBS, MS - Obstetrics & Gynaecology",23 Years Experience Overall  (14 years as specialist),Gynecologist,"Whitefield, Bangalore",Bangalore,99%,(500 votes),₹850
27,Dr. Sunita Umberkar,"MBBS, DGO, DNB - Obstetrics & Gynecology, FCPS - Mid. & Gynae",17 Years Experience Overall  (15 years as specialist),Gynecologist,"Bavdhan, Pune",Pune,99%,(347 votes),₹500
28,Dr. Poonam N Tara Thakur,"MBBS, MD - Obstetrics & Gynaecology",28 Years Experience Overall  (23 years as specialist),Gynecologist,"Panchsheel Park, Delhi",Delhi,92%,(25 votes),₹1500
29,Dr. Janani,"MBBS, MS - Obstetrics & Gynaecology",10 Years Experience Overall  (2 years as specialist),Gynecologist,"Mylapore, Chennai",Chennai,100%,(26 votes),₹500
30,Dr. Vandana Kataria,"MBBS, DGO, MRCOG(UK)",25 Years Experience Overall,Gynecologist,"Kalyani Nagar, Pune",Pune,92%,(13 votes),₹800
31,Dr. Latha N,"MBBS, DGO",28 Years Experience Overall  (22 years as specialist),Gynecologist,"Padmanabhanagar, Bangalore",Bangalore,99%,(230 votes),₹500
32,Dr. Alka Gupta,"MBBS, MD - Obstetrics & Gynaecology",41 Years Experience Overall  (37 years as specialist),Gynecologist,"Punjabi Bagh, Delhi",Delhi,99%,(473 votes),₹1400
33,Dr. Neeraja Valli G,"MBBS, MS - Obstetrics & Gynaecology",17 Years Experience Overall  (13 years as specialist),Gynecologist,"KPHB, Hyderabad",Hyderabad,100%,(87 votes),₹500
34,Dr. Shobha Rani,"DGO, MBBS, MD - Obstetrics & Gynaecology",47 Years Experience Overall  (45 years as specialist),Gynecologist,"Richmond Town, Bangalore",Bangalore,83%,(52 votes),₹600
35,Dr. Geetha Muralidhara,"MBBS, MD - Obstetrics & Gynaecology",49 Years Experience Overall  (30 years as specialist),Gynecologist,"Basavanagudi, Bangalore",Bangalore,75%,(16 votes),₹500
36,Dr. Preeti Kale,"MBBS, MS - Obstetrics & Gynaecology, Diploma in Reproductive Medicine (Germany)",22 Years Experience Overall  (16 years as specialist),Gynecologist,"Baner, Pune",Pune,95%,(186 votes),₹500
37,Dr. Roopa R,"MBBS, DGO",26 Years Experience Overall  (22 years as specialist),Gynecologist,"Jayanagar 9 Block, Bangalore",Bangalore,96%,(47 votes),₹500
38,Dr. Sonali Rawal,"MBBS, DGO",19 Years Experience Overall  (13 years as specialist),Gynecologist,"Wakad, Pune",Pune,95%,(21 votes),₹700
