,Name,Degree,Years_Of_Experience,Speciality_of_doctor,Location,City,dp_score,npv,consultation_fee
0,Dr. Sutopa Banerjee,"MBBS, DGO, DNB - Obstetrics & Gynecology",25 Years Experience Overall  (20 years as specialist),Infertility Specialist,"Vasant Kunj, Delhi",Delhi,97%,(2284 votes),₹1200
1,Dr. Durga Karne,"MBBS, DNB - Obstetrics & Gynecology, DGO, FCPS - Mid. & Gynae",21 Years Experience Overall  (19 years as specialist),Infertility Specialist,"Sinhagad Road, Pune",Pune,96%,(84 votes),₹500
2,Dr. Kavitha Kovi,"MBBS, MS - Obstetrics & Gynaecology",22 Years Experience Overall  (18 years as specialist),Infertility Specialist,"Whitefield, Bangalore",Bangalore,93%,(466 votes),₹700
3,Dr. Parimalam Ramanathan,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, CCT - OBG, MRCOG(UK), Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)",28 Years Experience Overall  (24 years as specialist),Infertility Specialist,"Perungudi, Chennai",Chennai,98%,(523 votes),₹700
4,Dr. M Swathi,"MBBS, MS - Obstetrics & Gynaecology",13 Years Experience Overall  (8 years as specialist),Infertility Specialist,"Secunderabad, Hyderabad",Hyderabad,0,0,0
5,Dr. Deepti Saler,"MBBS, DGO",12 Years Experience Overall,Infertility Specialist,"Kothrud, Pune",Pune,0,0,₹500
6,Dr. Sushil Shinde,MS - Obstetrics & Gynaecology,12 Years Experience Overall,Infertility Specialist,"Vileparle West, Mumbai",Mumbai,0,0,₹1500
7,Dr. Shubhada Kulkarni,"MBBS, MD - Obstetrics & Gynaecology",43 Years Experience Overall,Infertility Specialist,"Andheri West, Mumbai",Mumbai,91%,(158 votes),₹1000
8,Dr. Pushpa Soni,"DNB - Obstetrics & Gynecology, MBBS",17 Years Experience Overall  (12 years as specialist),Infertility Specialist,"Kalyani Nagar, Pune",Pune,100%,(13 votes),₹800
9,Dr. Varun H Shah,"DNB - Obstetrics & Gynecology, DGO, MBBS, Diploma in Advanced Endoscopic Gynae Surgery, Fellowship in Reproductive Medicine",14 Years Experience Overall  (9 years as specialist),Infertility Specialist,"Borivali West, Mumbai",Mumbai,100%,(147 votes),₹1000
10,Dr. Rukkayal Fathima,"MBBS, MS - Obstetrics & Gynaecology",11 Years Experience Overall  (6 years as specialist),Infertility Specialist,"Mylapore, Chennai",Chennai,99%,(258 votes),₹400
11,Dr. Charushilla Palwde,"MBBS, MS - Obstetrics & Gynaecology",14 Years Experience Overall  (10 years as specialist),Infertility Specialist,"Baner, Pune",Pune,100%,(37 votes),₹500
12,Dr. Renubala Rout,"DNB - Obstetrics & Gynecology, MBBS",16 Years Experience Overall  (10 years as specialist),Infertility Specialist,"Kandivali East, Mumbai",Mumbai,98%,(47 votes),₹1000
13,Dr. B Kiranmayee,"MBBS, MS - Obstetrics & Gynaecology",13 Years Experience Overall  (7 years as specialist),Infertility Specialist,"Nallagandla, Hyderabad",Hyderabad,97%,(343 votes),₹550
14,Dr. Shreya Prabhoo,"MBBS, DNB - Obstetrics & Gynecology, DGO",14 Years Experience Overall  (10 years as specialist),Infertility Specialist,"Andheri East, Mumbai",Mumbai,0,0,₹1200
15,Dr. Ruchi Malhotra,"DGO, DNB - Obstetrics & Gynecology, MBBS",30 Years Experience Overall  (26 years as specialist),Infertility Specialist,"Kingsway Camp, Delhi",Delhi,90%,(87 votes),₹700
16,Dr. Gaurav H Chopade,"MBBS, MS - Obstetrics & Gynaecology",17 Years Experience Overall  (11 years as specialist),Infertility Specialist,"Baner, Pune",Pune,0,0,₹500
17,Dr. Padmavathi Ravipati,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",11 Years Experience Overall  (7 years as specialist),Infertility Specialist,"Gachibowli, Hyderabad",Hyderabad,100%,(49 votes),₹700
18,Dr. Florence Vasantha Praba,"MBBS, DNB - Obstetrics & Gynecology",22 Years Experience Overall  (11 years as specialist),Infertility Specialist,"Rajakilpakkam, Chennai",Chennai,96%,(223 votes),₹400
19,Dr. Abdul Basith,"MBBS, MD - Obstetrics & Gynaecology",12 Years Experience Overall  (9 years as specialist),Infertility Specialist,"Kodambakkam, Chennai",Chennai,99%,(67 votes),₹500
