,Name,Degree,Years_Of_Experience,Speciality_of_doctor,Location,City,dp_score,npv,consultation_fee
0,Dr. Ganesh K Murthy,"MBBS, MS - General Surgery, MCh - Neuro Surgery",32 Years Experience Overall  (23 years as specialist),Neurosurgeon,"Jayanagar, Bangalore",Bangalore,0,0,₹1000
1,Dr. Arjun Srivatsa,"MBBS, DNB - Neurosurgery",31 Years Experience Overall  (27 years as specialist),Neurosurgeon,"Kalyan Nagar, Bangalore",Bangalore,98%,(129 votes),₹1000
2,Dr. Sunil V Furtado,"MBBS, MS - General Surgery, MCh - Neuro Surgery, DNB - Neurosurgery",22 Years Experience Overall  (17 years as specialist),Neurosurgeon,"Sahakaranagar, Bangalore",Bangalore,99%,(164 votes),₹700
3,Dr. K Kartik Revanappa,"MS - Orthopaedics, MCh - Neuro Surgery, MBBS",22 Years Experience Overall  (19 years as specialist),Neurosurgeon,"JP Nagar 8 Phase, Bangalore",Bangalore,99%,(141 votes),₹1000
4,Dr. Deepak A N,"MBBS, MS - General Surgery, MCh - Neuro Surgery",14 Years Experience Overall  (5 years as specialist),Neurosurgeon,"Kundalahalli, Bangalore",Bangalore,0,0,₹800
5,Dr. Abdul Aziz Riyaz,"MBBS, MS - General Surgery, MCh - Neuro Surgery",10 Years Experience Overall  (4 years as specialist),Neurosurgeon,"BTM Layout 2nd Stage, Bangalore",Bangalore,87%,(45 votes),₹800
6,Dr. Sridhar R,MS - Neuro Surgery,19 Years Experience Overall,Neurosurgeon,"Kanakpura Road, Bangalore",Bangalore,100%,(20 votes),₹800
7,Dr. Deepak Somasundar,"MBBS, MS - General Surgery, DNB - Neurosurgery",13 Years Experience Overall  (5 years as specialist),Neurosurgeon,"Yelahanka New Town, Bangalore",Bangalore,99%,(69 votes),₹700
8,Dr. Sunil Buddappa,"MBBS, MS - General Surgery, MCh - Neuro Surgery",12 Years Experience Overall  (3 years as specialist),Neurosurgeon,"Sahakaranagar, Bangalore",Bangalore,0,0,₹1300
9,Dr. Ganesh Veerabhadraiah,"MBBS, DNB - Neurosurgery, Fellowship in Interventional Neurosurgery (FINR)",21 Years Experience Overall  (9 years as specialist),Neurosurgeon,"Jayanagar, Bangalore",Bangalore,0,0,₹700
10,Dr. Aniruddh T Jagannath,"MCh - Neuro Surgery, MBBS",19 Years Experience Overall  (12 years as specialist),Neurosurgeon,"MG Road, Bangalore",Bangalore,100%,(86 votes),₹1000
11,Dr. Sabyasachi Basu,"MBBS, MS - General Surgery, MCh - Neuro Surgery",16 Years Experience Overall  (8 years as specialist),Neurosurgeon,"Koramangala 5 Block, Bangalore",Bangalore,0,0,₹1250
12,Dr. Hariprakash Chakravarthy,"MBBS, DNB - Neurosurgery",21 Years Experience Overall  (11 years as specialist),Neurosurgeon,"JP Nagar, Bangalore",Bangalore,0,0,₹950
13,Dr. Aravinth Kumar. A,"MBBS, MCh - Neuro Surgery",12 Years Experience Overall  (4 years as specialist),Neurosurgeon,"Nagasandra, Bangalore",Bangalore,0,0,₹700
14,Dr. Yadhu K Lokanath,"MBBS, MS - General Surgery, MCh - Neuro Surgery",6 Years Experience Overall,Neurosurgeon,"JP Nagar, Bangalore",Bangalore,0,0,₹950
15,Dr. N Chandrashekar,"MCh - Neuro Surgery, MBBS",36 Years Experience Overall  (27 years as specialist),Neurosurgeon,"HSR Layout, Bangalore",Bangalore,97%,(222 votes),₹750
16,Dr. Ravi Gopal Varma,"MBBS, MS - General Surgery, MCh - Neuro Surgery",31 Years Experience Overall  (24 years as specialist),Neurosurgeon,"Hebbal, Bangalore",Bangalore,98%,(43 votes),₹900
