,Name,Degree,Years_Of_Experience,Speciality_of_doctor,Location,City,dp_score,npv,consultation_fee
0,Dr. Yogesh D,"MBBS, MS - Ophthalmology",21 Years Experience Overall  (14 years as specialist),Ophthalmologist,"Rajarajeshwarinagar, Bangalore",Bangalore,0,0,₹499
1,Dr. Vinay Patil,"MBBS, MS - Ophthalmology",20 Years Experience Overall  (15 years as specialist),Ophthalmologist,"HSR Layout, Bangalore",Bangalore,89%,(598 votes),₹500
2,Dr. Swarna T P,"DO, MBBS",10 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Padmanabhanagar, Bangalore",Bangalore,100%,(26 votes),₹500
3,Dr. Prashant Singh,MS - Ophthalmology,23 Years Experience Overall,Ophthalmologist,"Kammana Halli, Bangalore",Bangalore,100%,(101 votes),₹200
4,Dr. Pinto Kiran,"MBBS, MD - Ophthalmology",11 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Vijayanagar, Bangalore",Bangalore,81%,(16 votes),₹500
5,Dr. Mohan Kumar H,"MBBS, MS - Ophthalmology",27 Years Experience Overall  (16 years as specialist),Ophthalmologist,"Sampangiramnagar, Bangalore",Bangalore,0,0,₹800
6,Dr. Rakesh Seenappa,"MBBS, MS - Ophthalmology",10 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Rajajinagar, Bangalore",Bangalore,0,0,₹400
7,Dr. Shailashree V Bheemaraddi,"MBBS, DOMS",23 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Banashankari, Bangalore",Bangalore,0,0,₹400
8,Dr. Vijayalakshmi Prabhu,"MBBS, DNB - Ophthalmology",10 Years Experience Overall  (4 years as specialist),Ophthalmologist,"Banashankari, Bangalore",Bangalore,0,0,₹400
9,Dr. Bharath Kumar,"MBBS, DO, DNB - Ophthalmology",23 Years Experience Overall  (21 years as specialist),Ophthalmologist,"VV Puram, Bangalore",Bangalore,97%,(65 votes),₹300
10,Dr. Krishna Prasad,"MBBS, MS - Ophthalmology",39 Years Experience Overall  (28 years as specialist),Ophthalmologist,"BTM Layout 1st Stage, Bangalore",Bangalore,91%,(23 votes),₹350
11,Dr. M B Trishala,"MBBS, MS - Ophthalmology",32 Years Experience Overall  (25 years as specialist),Ophthalmologist,"Jayanagar 9 Block, Bangalore",Bangalore,100%,(21 votes),₹650
12,Dr. Ajanta Chakravarty,"MBBS, MS - Ophthalmology",36 Years Experience Overall,Ophthalmologist,"Whitefield, Bangalore",Bangalore,95%,(19 votes),₹900
13,Dr. Latha Anil,"MBBS, DOMS",21 Years Experience Overall  (14 years as specialist),Ophthalmologist,"Arekere, Bangalore",Bangalore,95%,(74 votes),₹550
14,Dr. Shalini Shetty,"MBBS, MS - Ophthalmology",29 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Jayanagar, Bangalore",Bangalore,92%,(91 votes),₹630
15,Dr. Mary Varghese,"MBBS, MS - Ophthalmology",36 Years Experience Overall  (32 years as specialist),Ophthalmologist,"Koramangala 5 Block, Bangalore",Bangalore,100%,(23 votes),₹650
16,Dr. G Sunanda,"MBBS, DO",26 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Kasturi nagar, Bangalore",Bangalore,88%,(41 votes),₹400
17,Dr. Sharath Shetty,"MBBS, MS - Ophthalmology",23 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Malleswaram, Bangalore",Bangalore,93%,(82 votes),₹500
18,Dr. Jalpa Vashi,"MBBS, DO, MS - Ophthalmology",25 Years Experience Overall  (24 years as specialist),Ophthalmologist,"Whitefield, Bangalore",Bangalore,0,0,₹800
19,Dr. Vipul Bhandari,"MBBS, DNB - Ophthalmology, DO",17 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Banashankari 3rd Stage, Bangalore",Bangalore,91%,(11 votes),₹500
20,Dr. Sanghamitra Burman,"MBBS, MD - Ophthalmology, DNB - Ophthalmology",23 Years Experience Overall  (21 years as specialist),Ophthalmologist,"Indiranagar, Bangalore",Bangalore,99%,(1394 votes),₹750
21,Dr. Srinivas Rao. V. K,"MBBS, DOMS",25 Years Experience Overall,Ophthalmologist,"Bellandur, Bangalore",Bangalore,86%,(76 votes),₹500
22,Dr. Harish Nayak,"MBBS, DOMS, MS - Ophthalmology, Fellow of the Royal College of Ophthalmologists of UK (FRCOphth. UK), FRCS - Ophthalmology (Edin)",31 Years Experience Overall  (26 years as specialist),Ophthalmologist,"Old Airport Road, Bangalore",Bangalore,99%,(143 votes),₹750
23,Dr. Rahul Jain,"MBBS, DOMS",16 Years Experience Overall  (10 years as specialist),Ophthalmologist,"BTM Layout, Bangalore",Bangalore,99%,(2639 votes),₹700
24,Dr. Deepa M,"MBBS, MS - Ophthalmology",15 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Hebbal, Bangalore",Bangalore,92%,(37 votes),₹800
25,Dr. Adarsh S Naik,"MBBS, MS - Ophthalmology",15 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Bellandur, Bangalore",Bangalore,89%,(70 votes),₹500
26,Dr. Mohd Shahbaaz,"MBBS, MS - Ophthalmology",23 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Bellandur, Bangalore",Bangalore,92%,(12 votes),₹500
27,Dr. Jayashree K Bhat,"MBBS, DNB - Ophthalmology",23 Years Experience Overall  (18 years as specialist),Ophthalmologist,"JP Nagar 1 Phase, Bangalore",Bangalore,98%,(135 votes),₹700
28,Dr. Alok B S,"MBBS, MS - Ophthalmology",11 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Basaveshwaranagar, Bangalore",Bangalore,97%,(361 votes),₹400
29,Dr. Sheetal Ballal,"MBBS, DNB - Ophthalmology",21 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Old Airport Road, Bangalore",Bangalore,0,0,₹750
30,Dr. Sri Prakash KS,"MBBS, MS - Ophthalmology",41 Years Experience Overall  (39 years as specialist),Ophthalmologist,"HBR Layout, Bangalore",Bangalore,0,0,₹500
31,Dr. Raghuraj Hegde,"MBBS, MS - Ophthalmology",14 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Old Airport Road, Bangalore",Bangalore,0,0,₹750
32,Dr. Geetha S.,"MBBS, DOMS",16 Years Experience Overall,Ophthalmologist,"Old Airport Road, Bangalore",Bangalore,0,0,₹750
33,Dr. Leslie Ravi Kumar,"MBBS, MS - Ophthalmology, DNB - Ophthalmology",26 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Millers Road, Bangalore",Bangalore,99%,(83 votes),₹1000
34,Dr. Jyoti Shetty,"MBBS, MS - Ophthalmology",30 Years Experience Overall,Ophthalmologist,"Old Airport Road, Bangalore",Bangalore,0,0,₹750
35,Dr. Dinesh P N,"MBBS, MS - Ophthalmology, DOMS",36 Years Experience Overall  (32 years as specialist),Ophthalmologist,"Cunningham Road, Bangalore",Bangalore,0,0,₹700
36,Dr. NITIN  S SHETTY,"MBBS, MS - Ophthalmology",22 Years Experience Overall,Ophthalmologist,"Old Airport Road, Bangalore",Bangalore,97%,(71 votes),₹750
