,Name,Degree,Years_Of_Experience,Speciality_of_doctor,Location,City,dp_score,npv,consultation_fee
0,Dr. B A Gopala Krishna,"MBBS, DNB - Orthopedics/Orthopedic Surgery",21 Years Experience Overall  (13 years as specialist),Orthopedist,"Banashankari 2nd Stage, Bangalore",Bangalore,97%,(88 votes),₹600
1,Dr. Shashidhar V.,"MBBS, MS - Orthopaedics",18 Years Experience Overall  (11 years as specialist),Orthopedist,"Yelenahalli, Bangalore",Bangalore,96%,(99 votes),₹1000
2,Dr. Sharath Kumar Shetty,"MBBS, MS - Orthopaedics",21 Years Experience Overall  (19 years as specialist),Orthopedist,"HSR Layout, Bangalore",Bangalore,88%,(41 votes),₹999
3,Dr. Somanna Malchira,"MS - Orthopaedics, MBBS",16 Years Experience Overall,Orthopedist,"Hebbal, Bangalore",Bangalore,96%,(45 votes),₹900
4,Dr. Prashanth Kalale,"MBBS, MS - Orthopaedics, M.Ch - Orthopaedics",23 Years Experience Overall  (22 years as specialist),Orthopedist,"Koramangala 5 Block, Bangalore",Bangalore,97%,(864 votes),₹600
5,Dr. Shivareddy.H.A.,"MBBS, Diploma in Orthopaedics, MS - Orthopaedics",19 Years Experience Overall  (14 years as specialist),Orthopedist,"Jayanagar, Bangalore",Bangalore,99%,(352 votes),₹750
6,Dr. Mohan M.R,"MBBS, MS - Orthopaedics",20 Years Experience Overall  (15 years as specialist),Orthopedist,"Hulimavu, Bangalore",Bangalore,95%,(141 votes),₹500
7,Dr. Mohan Puttaswamy,"MBBS, MS - Orthopaedics",19 Years Experience Overall  (16 years as specialist),Orthopedist,"Bannerghatta Road, Bangalore",Bangalore,96%,(652 votes),₹850
8,Dr. Nanda Kumar Bhairi,"DNB - Orthopedics/Orthopedic Surgery, Diploma in Orthopaedics, MBBS",18 Years Experience Overall  (12 years as specialist),Orthopedist,"Rajarajeshwarinagar, Bangalore",Bangalore,99%,(536 votes),₹500
9,Dr. Manohar Babu,"MS - Orthopaedics, MBBS",21 Years Experience Overall  (16 years as specialist),Orthopedist,"Bannerghatta Road, Bangalore",Bangalore,97%,(30 votes),₹850
10,Dr. Thirumalesh K Reddy,"MBBS, MS - Orthopaedics",27 Years Experience Overall  (21 years as specialist),Orthopedist,"Hebbal, Bangalore",Bangalore,87%,(30 votes),₹900
11,Dr. Jayateerth W Kulkarni,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery, FRCS - Trauma & Orthopedic Surgery",35 Years Experience Overall  (30 years as specialist),Orthopedist,"Cunningham Road, Bangalore",Bangalore,98%,(476 votes),₹700
12,Dr. Mani Venugopal,"MBBS, MS - Orthopaedics, Diploma in Orthopaedics",39 Years Experience Overall,Orthopedist,"Ulsoor, Bangalore",Bangalore,97%,(613 votes),₹800
13,Dr. Basavaraj C M,"Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery, MRCS (UK), FRCS - Trauma & Orthopedic Surgery",25 Years Experience Overall  (24 years as specialist),Orthopedist,"Kengeri, Bangalore",Bangalore,100%,(28 votes),₹500
14,Dr. Yogish Vijaya Kumar,"MBBS, MS - Orthopaedics",23 Years Experience Overall  (19 years as specialist),Orthopedist,"Jayanagar 9 Block, Bangalore",Bangalore,93%,(75 votes),₹650
15,Dr. Prakash B L,"DNB - Orthopedics/Orthopedic Surgery, MS - Orthopaedics, MBBS",31 Years Experience Overall,Orthopedist,"Jayanagar 9 Block, Bangalore",Bangalore,91%,(1259 votes),₹800
16,Dr. Santoshkumar Hakkalamani,"CCT - Trauma & Orthopaedic Surgery, MRCS (UK), MBBS, MS - Orthopaedics, FRCS - Trauma & Orthopedic Surgery",26 Years Experience Overall  (9 years as specialist),Orthopedist,"Kengeri, Bangalore",Bangalore,92%,(13 votes),₹500
17,Dr. Sanjay Pai,"MBBS, MS - Orthopaedics",34 Years Experience Overall,Orthopedist,"Jayanagar, Bangalore",Bangalore,84%,(32 votes),₹1000
18,Dr. Lokesh A Veerappa,"MBBS, MS - Orthopaedics",23 Years Experience Overall  (17 years as specialist),Orthopedist,"Old Airport Road, Bangalore",Bangalore,96%,(138 votes),₹900
19,Dr. Rajeev Ghat,"MBBS, MS - Orthopaedics",26 Years Experience Overall  (21 years as specialist),Orthopedist,"Bellandur, Bangalore",Bangalore,98%,(164 votes),₹650
20,Dr. Balasubramanyam PR,"MBBS, MS - Orthopaedics",23 Years Experience Overall  (17 years as specialist),Orthopedist,"Rajarajeshwarinagar, Bangalore",Bangalore,99%,(1750 votes),₹600
21,Dr. Sushal Shanthakumar,"MBBS, MS - Orthopaedics",18 Years Experience Overall  (13 years as specialist),Orthopedist,"Old Airport Road, Bangalore",Bangalore,99%,(136 votes),₹900
22,Dr. Shuaib Kausar,"Diploma in Orthopaedics, MBBS",20 Years Experience Overall  (17 years as specialist),Orthopedist,"Banaswadi, Bangalore",Bangalore,97%,(273 votes),₹550
23,Dr. Prashanth Inna,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery, MNAMS - Orthopaedics",20 Years Experience Overall  (16 years as specialist),Orthopedist,"Old Airport Road, Bangalore",Bangalore,94%,(113 votes),₹900
24,Dr. Manjunath Gopal,"MBBS, Diploma in Orthopaedics",23 Years Experience Overall  (19 years as specialist),Orthopedist,"Electronics City, Bangalore",Bangalore,100%,(39 votes),₹750
25,Dr. Mahesh Channabasappa Gonchikar,"MBBS, DNB - Orthopedics/Orthopedic Surgery, Diploma in Orthopaedics",28 Years Experience Overall  (21 years as specialist),Orthopedist,"Malleswaram, Bangalore",Bangalore,100%,(41 votes),₹700
26,Dr. Srimanth B S,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",10 Years Experience Overall,Orthopedist,"Jayanagar, Bangalore",Bangalore,0,0,₹800
27,Dr. Prabhakar V,"MBBS, MS - Orthopaedics",14 Years Experience Overall  (9 years as specialist),Orthopedist,"KR Puram, Bangalore",Bangalore,95%,(125 votes),₹399
28,Dr. Sunil N,"MBBS, MS - Orthopaedics",10 Years Experience Overall  (4 years as specialist),Orthopedist,"Panathur, Bangalore",Bangalore,100%,(131 votes),₹550
29,Dr. Deepak N Inamdar,"MBBS, Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",24 Years Experience Overall  (20 years as specialist),Orthopedist,"Jayanagar 3 Block, Bangalore",Bangalore,94%,(253 votes),₹600
30,Dr. Rajan.V.G.,"MBBS, FRCS - Trauma & Orthopedic Surgery, MRCS (UK)",26 Years Experience Overall  (10 years as specialist),Orthopedist,"Kammana Halli, Bangalore",Bangalore,94%,(122 votes),₹900
31,Dr. Rajashekhar K T,"MBBS, MS - Orthopaedics, M.Ch - Orthopaedics",21 Years Experience Overall  (19 years as specialist),Orthopedist,"Bannerghatta Road, Bangalore",Bangalore,100%,(22 votes),₹850
32,Dr. Yogesh Pithwa,"FNB - Spine Surgery, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery, MNAMS - Orthopaedics, Diploma in Orthopaedics, MBBS",20 Years Experience Overall,Orthopedist,"Jayanagar, Bangalore",Bangalore,94%,(455 votes),₹650
33,Dr. Sharath K.R,"DNB - Orthopedics/Orthopedic Surgery, MS - Orthopaedics, MBBS",14 Years Experience Overall  (13 years as specialist),Orthopedist,"Banashankari 3rd Stage, Bangalore",Bangalore,100%,(35 votes),₹600
34,Dr. Surendranath Shetty B,"MBBS, MS - Orthopaedics",42 Years Experience Overall  (37 years as specialist),Orthopedist,"Jayanagar, Bangalore",Bangalore,0,0,₹750
35,Dr. Chandrasekar Chikkamuniyappa,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",28 Years Experience Overall  (24 years as specialist),Orthopedist,"Sampangiramnagar, Bangalore",Bangalore,96%,(423 votes),₹800
36,Dr. Anil Patil,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",13 Years Experience Overall  (9 years as specialist),Orthopedist,"Yeshwanthpur, Bangalore",Bangalore,99%,(166 votes),₹700
37,Dr. Pradeep Kocheeppan,"MBBS, Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",24 Years Experience Overall  (21 years as specialist),Orthopedist,"Bannerghatta Road, Bangalore",Bangalore,86%,(43 votes),₹850
