,Name,Degree,Years_Of_Experience,Speciality_of_doctor,Location,City,dp_score,npv,consultation_fee
0,Dr. Brinda Dave   (Physiotherapist),"MPTh/MPT - Neurological Physiotherapy, BPTh/BPT",14 Years Experience Overall,Physiotherapist,"Ravet, Pune",Pune,100%,(29 votes),₹400
1,Dr. Avani Khadepau   (Physiotherapist),BPTh/BPT,20 Years Experience Overall,Physiotherapist,"Kandivali West, Mumbai",Mumbai,0,0,₹500
2,Dr. Rupalini Sastry   (Physiotherapist),BPTh/BPT,17 Years Experience Overall,Physiotherapist,"Yelahanka, Bangalore",Bangalore,97%,(31 votes),₹400
3,Dr. Devendra Naik   (Physiotherapist),BPTh/BPT,2 Years Experience Overall,Physiotherapist,"CV Raman Nagar, Bangalore",Bangalore,0,0,₹250
4,Dr. Shiva Kumar Durgam   (Physiotherapist),BPTh/BPT,18 Years Experience Overall,Physiotherapist,"Madhapur, Hyderabad",Hyderabad,90%,(30 votes),₹500
5,Dr. Disha Bamboli   (Physiotherapist),"MPTh/MPT - Neurological Physiotherapy, BPTh/BPT",9 Years Experience Overall  (5 years as specialist),Physiotherapist,"Jogeshwari West, Mumbai",Mumbai,100%,(54 votes),₹500
6,Dr. Nidhi Kumar   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",17 Years Experience Overall  (9 years as specialist),Physiotherapist,"Rajouri Garden, Delhi",Delhi,99%,(110 votes),₹800
7,Dr. Minita Mehta Solanki   (Physiotherapist),BPTh/BPT,11 Years Experience Overall,Physiotherapist,"Andheri West, Mumbai",Mumbai,97%,(32 votes),₹500
8,Dr. Nabanita Chetry   (Physiotherapist),BPTh/BPT,3 Years Experience Overall,Physiotherapist,"Nagarbhavi, Bangalore",Bangalore,0,0,₹400
9,Dr. Reena Panigrahi   (Physiotherapist),BPTh/BPT,7 Years Experience Overall,Physiotherapist,"Bilekahalli, Bangalore",Bangalore,95%,(19 votes),₹500
10,Dr. Banushree.B   (Physiotherapist),BPTh/BPT,4 Years Experience Overall,Physiotherapist,"Uttarahalli, Bangalore",Bangalore,0,0,₹300
