,Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
0,Dr. Jyoti Ahlawat,"BDS, MDS - Conservative Dentistry & Endodontics",14 Years Experience Overall,Dentist,"Vasundhra Enclave, Delhi",99% ,(136 votes),₹500
1,Dr. Chetna Sirsat,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",9 Years Experience Overall  (4 years as specialist),Dentist,"Kandivali East, Mumbai",0,0,₹500
2,Dr. R Divya,BDS,5 Years Experience Overall,Dentist,"Adyar, Chennai",0,0,₹500
3,Dr. Archana Dixit,BDS,22 Years Experience Overall,Dentist,"Viman Nagar, Pune",98% ,(485 votes),₹300
4,Dr. Darshan S Gupte,"BDS, MDS - Conservative Dentistry ",36 Years Experience Overall,Dentist,"Kandivali East, Mumbai",100% ,(74 votes),₹300
5,Dr. Shalini P,BDS,10 Years Experience Overall,Dentist,"Kandanchavadi, Chennai",0,0,₹100
6,Dr. Prashant Shetty,BDS,22 Years Experience Overall,Dentist,"Dahisar West, Mumbai",99% ,(135 votes),₹200
7,Dr. Keerthika R,BDS,3 Years Experience Overall,Dentist,"Koramangala 6 Block, Bangalore",0,0,₹500
8,Dr. Gunjan Mehta Thaker,BDS,20 Years Experience Overall,Dentist,"Goregaon East, Mumbai",100% ,(86 votes),₹200
9,Dr. Sonali Nalawade kakade,"BDS, MDS - Prosthodontist And Crown Bridge",13 Years Experience Overall,Dentist,"Pimpri-Chinchwad, Pune",98% ,(46 votes),₹500
10,Dr. Mahadevan,"BDS, MDS - Prosthodontist And Crown Bridge",13 Years Experience Overall,Dentist,"Adyar, Chennai",97% ,(29 votes),₹700
11,Dr. Avanti Shah,BDS,10 Years Experience Overall,Dentist,"Chembur, Mumbai",0,0,₹400
12,Dr. Jaynit Tandon,"BDS, MDS - Conservative Dentistry & Endodontics",4 Years Experience Overall,Dentist,"Hari Nagar, Delhi",0,0,₹300
13,Dr. V.S. Hariharan,"BDS, MDS - Paedodontics And Preventive Dentistry",20 Years Experience Overall,Dentist,"Medavakkam, Chennai",99% ,(464 votes),₹300
14,Dr. NG Sylvia Kune,BDS,6 Years Experience Overall,Dentist,"HAL 2nd Stage, Bangalore",96% ,(23 votes),₹500
15,Dr. Pragya Pathak,"BDS, Fellowship in Oral implantlogy, MDS - Periodontics",8 Years Experience Overall  (4 years as specialist),Dentist,"Indiranagar, Bangalore",98% ,(148 votes),₹1000
16,Dr. Aman Popli,"BDS, MDS - Prosthodontics",26 Years Experience Overall,Dentist,"Panchsheel Park, Delhi",0,0,₹1200
17,Dr. Preethi Sowdambigai,BDS,5 Years Experience Overall,Dentist,"Velachery, Chennai",0,0,₹500
18,Dr. Abhishek Mathur,"BDS, MDS - Prosthodontics",10 Years Experience Overall  (8 years as specialist),Dentist,"Lajpat Nagar, Delhi",0,0,₹500
19,Dr. B J Barun,BDS,18 Years Experience Overall,Dentist,"Velachery, Chennai",98% ,(1538 votes),₹600
20,Dr. Kanika Madan,"MDS - Conservative Dentistry & Endodontics, BDS",12 Years Experience Overall,Dentist,"Bandra West, Mumbai",95% ,(21 votes),₹500
21,Dr. K. Anusha Unni Nishanth,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",17 Years Experience Overall,Dentist,"Adyar, Chennai",98% ,(57 votes),₹500
22,Dr. Sakina Zaveri,BDS,6 Years Experience Overall,Dentist,"Triplicane, Chennai",0,0,₹200
23,Dr. Komal Prakash Kamble,BDS,13 Years Experience Overall,Dentist,"Pashan, Pune",99% ,(381 votes),₹300
