,Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
0,Dr. Amit Gulati,"MBBS, DDVL",15 Years Experience Overall  (9 years as specialist),Dermatologist,"Malad West, Mumbai",99% ,(69 votes),₹750
1,Dr. Simple Aher,"MBBS, DVD",13 Years Experience Overall,Dermatologist,"Andheri West, Mumbai",0,0,₹2000
2,Dr. Pooja Kondadi,"MD - Dermatology , Venereology & Leprosy, MBBS",6 Years Experience Overall  (1 year as specialist),Dermatologist,"Banjara Hills, Hyderabad",0,0,₹600
3,Dr. Anuradha S.Patil,"MBBS, DVD",17 Years Experience Overall,Dermatologist,"Aundh, Pune",0,0,₹500
4,Dr. Chiranjiv Chhabra,"MBBS, MD - Dermatology , Venereology & Leprosy",26 Years Experience Overall,Dermatologist,"Panchsheel Park, Delhi",55% ,(20 votes),₹2000
5,Dr. Bhuvanashree N,"MBBS, MD - Dermatology , Venereology & Leprosy",8 Years Experience Overall  (3 years as specialist),Dermatologist,"Adyar, Chennai",100% ,(108 votes),₹700
6,Dr. Shekar Y N,"MBBS, DVD",36 Years Experience Overall  (33 years as specialist),Dermatologist,"Basavanagudi, Bangalore",93% ,(15 votes),₹300
7,Dr. Madhavi Krishnarao Salunkhe,"MBBS, DVD",20 Years Experience Overall  (16 years as specialist),Dermatologist,"Shivajinagar, Pune",100% ,(61 votes),₹600
8,Dr. Rajyalaxmi Konathan,"MBBS, MD - Skin,VD & Leprosy",28 Years Experience Overall  (23 years as specialist),Dermatologist,"Secunderabad, Hyderabad",86% ,(14 votes),₹800
9,Dr. Vignesh Karthick,"MBBS, MD - Dermatology , Venereology & Leprosy",10 Years Experience Overall  (6 years as specialist),Dermatologist,"Aminjikarai, Chennai",88% ,(17 votes),₹500
10,Dr. Deepali Marthineni,"DDVL, MBBS",9 Years Experience Overall  (5 years as specialist),Dermatologist,"Jubilee Hills, Hyderabad",100% ,(23 votes),₹500
11,Dr. Suchita Dattatray Parab,"DNB - Dermatology & Venereology, MBBS",9 Years Experience Overall  (7 years as specialist),Dermatologist,"Borivali West, Mumbai",97% ,(65 votes),₹500
12,Dr. Ramesh Vishwanath,"MBBS, MD - Dermatology",31 Years Experience Overall,Dermatologist,"Banjara Hills, Hyderabad",94% ,(17 votes),₹500
13,Dr. Nidhi Shah,"MBBS, MD - Dermatology , Venereology & Leprosy",6 Years Experience Overall  (2 years as specialist),Dermatologist,"Marine Lines, Mumbai",100% ,(33 votes),₹1250
14,Dr. Sandhyarani K,"MBBS, MD - Dermatology , Venereology & Leprosy",12 Years Experience Overall  (6 years as specialist),Dermatologist,"Sanjay Nagar, Bangalore",100% ,(11 votes),₹500
15,Dr. Nidhi Rohatgi,"MBBS, DVD",27 Years Experience Overall  (24 years as specialist),Dermatologist,"Vasant Kunj, Delhi",100% ,(90 votes),₹1500
16,Dr. Amrin Jibrail Diwan,"MBBS, DVD",10 Years Experience Overall  (3 years as specialist),Dermatologist,"Kalyani Nagar, Pune",99% ,(77 votes),₹600
17,Dr. Sharanya Karthik,"MD - Dermatology , Venereology & Leprosy, MBBS",4 Years Experience Overall,Dermatologist,"T Nagar, Chennai",0,0,₹500
18,Dr. Saguna Puttoo,"MBBS, DNB - Dermatology & Venereology",24 Years Experience Overall  (14 years as specialist),Dermatologist,"Kukatpally, Hyderabad",94% ,(262 votes),₹600
19,Dr. K Swaroopa,"MBBS, MD - Dermatology , Venereology & Leprosy",21 Years Experience Overall  (16 years as specialist),Dermatologist,"Gachibowli, Hyderabad",86% ,(401 votes),₹500
20,Dr. Lipy Gupta,"MD - Dermatology , Venereology & Leprosy, MBBS",17 Years Experience Overall  (14 years as specialist),Dermatologist,"Green Park, Delhi",96% ,(1501 votes),₹800
21,Dr. Abdul Samad,"MBBS, MD - Dermatology , Venereology & Leprosy, DVD",29 Years Experience Overall  (28 years as specialist),Dermatologist,"Electronics City, Bangalore",94% ,(71 votes),₹550
22,Dr. Charulatha K S,"DNB - Dermatology, Venereology & Leprosy, DDVL, MBBS",5 Years Experience Overall  (3 years as specialist),Dermatologist,"Bannerghatta Road, Bangalore",0,0,₹400
23,Dr. Amey Kelkar,"MBBS, MD - Dermatology , Venereology & Leprosy",13 Years Experience Overall  (7 years as specialist),Dermatologist,"Kothrud, Pune",98% ,(890 votes),₹600
24,Dr. Manisha Mareddy,"MBBS, MD - Dermatology , Venereology & Leprosy",6 Years Experience Overall  (1 year as specialist),Dermatologist,"Gachibowli, Hyderabad",100% ,(12 votes),₹600
25,Dr. J.Priya,"MBBS, MD - Dermatology , Venereology & Leprosy",8 Years Experience Overall  (5 years as specialist),Dermatologist,"Porur, Chennai",0,0,₹750
26,Dr. Arihant Surana,"DDV, MBBS",22 Years Experience Overall  (17 years as specialist),Dermatologist,"Defence Colony, Delhi",96% ,(403 votes),₹1000
27,Dr. Zeenat Bhalwani,"MBBS, MD - Skin & VD",21 Years Experience Overall  (17 years as specialist),Dermatologist,"Andheri West, Mumbai",99% ,(468 votes),₹1500
28,Dr. Sudha Rani Badri,"MBBS, DDVL",15 Years Experience Overall,Dermatologist,"Kundalahalli, Bangalore",0,0,₹600
29,Dr. Madhavi Pudi,"MBBS, DNB - Dermatology, Venereology & Leprosy",15 Years Experience Overall  (11 years as specialist),Dermatologist,"Balkampet, Hyderabad",91% ,(1635 votes),₹800
30,Dr. Joshika Bhandary,"MBBS, MD - Dermatology , Venereology & Leprosy",11 Years Experience Overall  (4 years as specialist),Dermatologist,"Andheri West, Mumbai",0,0,₹900
31,Dr. N Ashwak Ahmed,"MBBS, MD - Dermatology , Venereology & Leprosy",14 Years Experience Overall  (9 years as specialist),Dermatologist,"OMR Road, Chennai",0,0,₹700
32,Dr. Yogeesh H R,"MBBS, MD - Dermatology , Venereology & Leprosy",29 Years Experience Overall  (18 years as specialist),Dermatologist,"Koramangala 4 Block, Bangalore",94% ,(805 votes),₹800
33,Dr. Poonam Tapsale,"MBBS, MD - Dermatology , Venereology & Leprosy",7 Years Experience Overall  (3 years as specialist),Dermatologist,"Shivajinagar, Pune",100% ,(37 votes),₹500
34,Dr. Shashi Kiran A R,"MBBS, MD - Dermatology , Venereology & Leprosy",10 Years Experience Overall  (6 years as specialist),Dermatologist,"Electronics City, Bangalore",97% ,(117 votes),₹550
35,Dr. Nitin Jain,"MBBS, DVD, FCPS - Dermatology, Venereology & Leprosy",20 Years Experience Overall  (16 years as specialist),Dermatologist,"Kothrud, Pune",97% ,(1482 votes),₹700
36,Dr. Hina Kherajani,"MBBS, DVD",20 Years Experience Overall  (15 years as specialist),Dermatologist,"Pimple Saudagar, Pune",94% ,(757 votes),₹600
37,Dr. Meghana Bathina,"MBBS, MD - Dermatology , Venereology & Leprosy",8 Years Experience Overall  (2 years as specialist),Dermatologist,"Secunderabad, Hyderabad",0,0,₹600
38,Dr. Radha Penumatsa,"MD - Dermatology , Venereology & Leprosy, MBBS",9 Years Experience Overall  (5 years as specialist),Dermatologist,"Kompally, Hyderabad",100% ,(56 votes),₹500
39,Dr. Aryambika Krishnan,"MBBS, MD - Dermatology , Venereology & Leprosy",7 Years Experience Overall  (3 years as specialist),Dermatologist,"Yelahanka New Town, Bangalore",0,0,₹600
40,Dr. Altamash Zubair,"MBBS, MD - Dermatology , Venereology & Leprosy",8 Years Experience Overall  (4 years as specialist),Dermatologist,"Banjara Hills, Hyderabad",0,0,₹800
41,Dr. S C Rajendran,"MBBS, MD - Dermatology",43 Years Experience Overall  (36 years as specialist),Dermatologist,"Ashoknagar, Bangalore",68% ,(667 votes),₹800
42,Dr. Sadhana Jadhavar,"MBBS, DDVL",15 Years Experience Overall  (14 years as specialist),Dermatologist,"Pimpri-Chinchwad, Pune",93% ,(725 votes),₹400
43,Dr. Urvashi Chandra,"MBBS, MD - Skin,VD & Leprosy",16 Years Experience Overall  (11 years as specialist),Dermatologist,"Pitampura, Delhi",96% ,(27 votes),₹800
44,Dr. Tejal Ubale,"MBBS, DDVL",7 Years Experience Overall  (5 years as specialist),Dermatologist,"Hinjewadi, Pune",81% ,(16 votes),₹500
45,Dr. Mamta Patil,"MBBS, DDVL",8 Years Experience Overall  (7 years as specialist),Dermatologist,"Nigdi, Pune",100% ,(17 votes),₹500
46,Dr. Akanksha Barthwal Thakre,"MBBS, DVD",11 Years Experience Overall  (6 years as specialist),Dermatologist,"Kalyani Nagar, Pune",95% ,(61 votes),₹500
47,Dr. Sindhu Hiremath,"MD - Dermatology , Venereology & Leprosy, MBBS",3 Years Experience Overall  (1 year as specialist),Dermatologist,"Electronics City, Bangalore",0,0,₹700
48,Dr. Geetika Srivastava,"MBBS, MD - Dermatology , Venereology & Leprosy",10 Years Experience Overall  (6 years as specialist),Dermatologist,"Hauz Khas, Delhi",99% ,(121 votes),₹1000
49,Dr. Praveen Rodrigues,"MBBS, MD - Dermatology",26 Years Experience Overall  (25 years as specialist),Dermatologist,"Richmond Town, Bangalore",90% ,(21 votes),₹1000
50,Dr. Sabitha Surisetti,"MBBS, MD - Dermatology , Venereology & Leprosy",20 Years Experience Overall,Dermatologist,"Defence Colony, Delhi",0,0,₹1500
51,Dr. Vanishree S. V,"MBBS, DVD",13 Years Experience Overall  (6 years as specialist),Dermatologist,"Nigdi, Pune",82% ,(107 votes),₹600
52,Dr. Shruthi B R,"MBBS, MD - Dermatology , Venereology & Leprosy",4 Years Experience Overall,Dermatologist,"Jayanagar, Bangalore",0,0,₹600
53,Dr. B. Haritha,"MBBS, MD - Dermatology , Venereology & Leprosy",10 Years Experience Overall  (7 years as specialist),Dermatologist,"Madhapur, Hyderabad",0,0,₹600
54,Dr. Aftab Mateen,"MBBS, DDVL",31 Years Experience Overall  (16 years as specialist),Dermatologist,"Anna Nagar, Chennai",92% ,(13 votes),₹700
55,Dr. Navnit Haror,"DDVL, MBBS",9 Years Experience Overall  (6 years as specialist),Dermatologist,"Greater Kailash Part 1, Delhi",92% ,(140 votes),₹1000
56,Dr. Naveen Atluru,"MBBS, MD - Dermatology , Venereology & Leprosy",11 Years Experience Overall  (5 years as specialist),Dermatologist,"Banjara Hills, Hyderabad",97% ,(34 votes),₹1000
57,Dr. Kavya Nayak,"MBBS, MD - Dermatology , Venereology & Leprosy",14 Years Experience Overall  (8 years as specialist),Dermatologist,"Sarjapur Road, Bangalore",96% ,(1157 votes),₹700
58,Dr. Anusha Akilesh,"DDVL, MBBS",8 Years Experience Overall  (3 years as specialist),Dermatologist,"HRBR Layout, Bangalore",96% ,(46 votes),₹600
59,Dr. S.Vinu Priya,"MBBS, MD - Dermatology , Venereology & Leprosy",8 Years Experience Overall  (4 years as specialist),Dermatologist,"Adyar, Chennai",100% ,(15 votes),₹600
60,Dr. Pooja Tilwani,"MBBS, DVD",13 Years Experience Overall  (8 years as specialist),Dermatologist,"Pimple Saudagar, Pune",94% ,(1078 votes),₹700
61,Dr. T. Sravyachandana,"MBBS, MD - Dermatology , Venereology & Leprosy",7 Years Experience Overall  (2 years as specialist),Dermatologist,"Jubilee Hills, Hyderabad",0,0,₹600
62,Dr. Mahima Wadhwa,"MBBS, MD - Dermatology , Venereology & Leprosy",11 Years Experience Overall  (7 years as specialist),Dermatologist,"Shalimar Bagh, Delhi",100% ,(56 votes),₹800
63,Dr. Murlidhar Rajagopalan,"MBBS, MD - Dermatology",36 Years Experience Overall  (30 years as specialist),Dermatologist,"Greams Road, Chennai",27% ,(11 votes),₹1000
64,Dr. Rajeshwari,"MBBS, MD - Dermatology , Venereology & Leprosy",19 Years Experience Overall  (11 years as specialist),Dermatologist,"Velachery, Chennai",83% ,(948 votes),₹700
65,Dr. Pranjal Joshi,"MBBS, MD - Dermatology , Venereology & Leprosy",11 Years Experience Overall  (5 years as specialist),Dermatologist,"Shivalik, Delhi",96% ,(55 votes),₹900
66,Dr. Sajai Varghese,"MBBS, MD - Dermatology , Venereology & Leprosy",22 Years Experience Overall  (12 years as specialist),Dermatologist,"Kilpauk, Chennai",83% ,(12 votes),₹1000
67,Dr. Ishani Chakravarty,"MBBS, DDVL",19 Years Experience Overall  (14 years as specialist),Dermatologist,"Secunderabad, Hyderabad",91% ,(206 votes),₹600
68,Dr. Raghu Ram Reddy.D,"MBBS, MD - Dermatology , Venereology & Leprosy",12 Years Experience Overall  (8 years as specialist),Dermatologist,"Yousufguda, Hyderabad",97% ,(510 votes),₹500
69,Dr. Priyanka S Jain,"MBBS, DDVL, DNB - Dermatology & Venereology",11 Years Experience Overall  (9 years as specialist),Dermatologist,"Sion West, Mumbai",98% ,(106 votes),₹900
70,Dr. Rahul Nagar,"MBBS, MD - Dermatology , Venereology & Leprosy",14 Years Experience Overall  (12 years as specialist),Dermatologist,"Panchsheel Park, Delhi",90% ,(29 votes),₹1000
71,Dr. Bhavyashree U G,"MBBS, MD - Dermatology , Venereology & Leprosy",11 Years Experience Overall  (7 years as specialist),Dermatologist,"Kalyan Nagar, Bangalore",86% ,(57 votes),₹700
72,Dr. Renu Nair,"MBBS, MD - Dermatology , Venereology & Leprosy",14 Years Experience Overall  (8 years as specialist),Dermatologist,"HSR Layout, Bangalore",97% ,(303 votes),₹600
73,Dr. V J Tannu,"MBBS, MD - Dermatology , Venereology & Leprosy, DVD",44 Years Experience Overall  (42 years as specialist),Dermatologist,"Budhwar Peth, Pune",84% ,(540 votes),₹750
74,Dr. Raj Kirit E.P.,"MBBS, DDVL",13 Years Experience Overall  (11 years as specialist),Dermatologist,"Jubilee Hills, Hyderabad",98% ,(521 votes),₹1000
75,Dr. Sridevi Sravya,"MBBS, DDVL",8 Years Experience Overall  (2 years as specialist),Dermatologist,"Gachibowli, Hyderabad",100% ,(19 votes),₹600
76,Dr. Manu Saxena,"MBBS, DVD",34 Years Experience Overall,Dermatologist,"Nehru Place, Delhi",0,0,₹1000
77,Dr. Divyasree P,"MBBS, MD - Dermatology , Venereology & Leprosy",13 Years Experience Overall  (7 years as specialist),Dermatologist,"Kondapur, Hyderabad",97% ,(37 votes),₹700
78,Dr. Yogesh Kalyanpad,"MD - Dermatology , Venereology & Leprosy, MBBS",12 Years Experience Overall  (7 years as specialist),Dermatologist,"Santacruz West, Mumbai",100% ,(430 votes),₹1000
79,Dr. Ashwani. P,"MBBS, MD - Dermatology , Venereology & Leprosy",15 Years Experience Overall  (12 years as specialist),Dermatologist,"Gachibowli, Hyderabad",0,0,₹500
80,Dr. Govind S Mittal,"MBBS, MD - Dermatology , Venereology & Leprosy",12 Years Experience Overall  (8 years as specialist),Dermatologist,"Jayanagar, Bangalore",98% ,(1048 votes),₹800
81,Dr. Namitha S,"MBBS, MD - Dermatology , Venereology & Leprosy",4 Years Experience Overall,Dermatologist,"Sarjapur Road, Bangalore",0,0,₹600
82,Dr. J.K. Jain,"MBBS, Diploma in Dermatology",52 Years Experience Overall  (39 years as specialist),Dermatologist,"Patparganj, Delhi",0,0,₹600
83,Dr. V Vilashini,"MBBS, MD - Dermatology , Venereology & Leprosy",1 Year Experience Overall,Dermatologist,"Velachery, Chennai",0,0,₹600
84,Dr. Shuhaib MP,"MBBS, Diploma in Dermatology, Fellowship in Aesthetic Medicine (FAM)",12 Years Experience Overall  (8 years as specialist),Dermatologist,"Baner, Pune",98% ,(188 votes),₹500
85,Dr. Haritha Ravipati,"MBBS, MD - Dermatology , Venereology & Leprosy",10 Years Experience Overall  (6 years as specialist),Dermatologist,"Ulsoor, Bangalore",98% ,(55 votes),₹600
86,Dr. Navya Chowdary,"MBBS, MD - Dermatology , Venereology & Leprosy",12 Years Experience Overall  (3 years as specialist),Dermatologist,"Gachibowli, Hyderabad",85% ,(20 votes),₹500
87,Dr. Banupriya M,"MBBS, MD - Dermatology , Venereology & Leprosy",6 Years Experience Overall  (2 years as specialist),Dermatologist,"Anna Nagar, Chennai",0,0,₹400
88,Dr. Sridhar Gogineni,"MBBS, MD - Dermatology , Venereology & Leprosy",16 Years Experience Overall  (8 years as specialist),Dermatologist,"Marathahalli, Bangalore",98% ,(849 votes),₹600
89,Dr. Vani M,"MBBS, DVD",27 Years Experience Overall  (23 years as specialist),Dermatologist,"Sanjay Nagar, Bangalore",97% ,(699 votes),₹500
90,Dr. Sravya C Tipirneni,"MBBS, MD - Dermatology , Venereology & Leprosy",7 Years Experience Overall,Dermatologist,"Whitefield, Bangalore",0,0,₹900
91,Dr. Mohan Darbastwar,"Diploma in Dermatology, MBBS",15 Years Experience Overall  (5 years as specialist),Dermatologist,"Koregaon Park, Pune",97% ,(296 votes),₹600
92,Dr. Bede Anand,"MBBS, MD - Dermatology , Venereology & Leprosy",2 Years Experience Overall,Dermatologist,"Mylapore, Chennai",0,0,₹300
93,Dr. Kakumanu Methini Reddy,"MBBS, MD - Dermatology , Venereology & Leprosy",7 Years Experience Overall  (3 years as specialist),Dermatologist,"Gachibowli, Hyderabad",0,0,₹600
