,Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
0,Dr. Akhila Joshi,"BNYS, MSc - Clinical Nutrition and Dietetics",13 Years Experience Overall  (7 years as specialist),Dietitian,"Kaggadasapura, Bangalore",96% ,(460 votes),₹500
1,Ms. Silky Mahajan,"B.Sc. - Home Science (Food & Nutrition), M.Sc. - Home Science (Food & Nutrition)",14 Years Experience Overall,Dietitian,"JP Nagar, Bangalore",96% ,(226 votes),₹1500
2,Ms. Rohini Raghu,MSc - Dietitics / Nutrition,17 Years Experience Overall  (15 years as specialist),Dietitian,"Basavanagudi, Bangalore",0,0,₹550
3,Ms. Sharanya S Shastry,M.Sc- Dietetics and Applied Nutrition,2 Years Experience Overall,Dietitian,"Koramangala 5 Block, Bangalore",100% ,(12 votes),₹600
4,Dr. Daisy Rani Rao,"MBBS, DO, Diploma in Dietetics & Public Health Nutrition (DDPHN)",41 Years Experience Overall  (10 years as specialist),Dietitian,"Kalkere, Bangalore",88% ,(111 votes),₹550
5,Ms. Sushmaa Jaiswal,M.Sc. - Home Science (Food & Nutrition),36 Years Experience Overall  (35 years as specialist),Dietitian,"Whitefield, Bangalore",93% ,(394 votes),₹2000
6,Ms. Sonal Sureka,"M.Sc- Dietetics and Applied Nutrition, BSc. - Home Science (Food Science and Nutrition)",7 Years Experience Overall,Dietitian,"Ashoknagar, Bangalore",97% ,(39 votes),₹1500
7,Dr. Keerthi Shree Kirisave   (PhD),"B.Sc.- Clinical Nutrition & Dietetics, M.Sc. - Home Science (Food & Nutrition), PhD - Yoga",13 Years Experience Overall,Dietitian,"Basaveshwaranagar, Bangalore",97% ,(110 votes),₹850
8,Dr. Shailja Jain (PhD)   (PhD),PhD - Home Science (Food and Nutrition),15 Years Experience Overall,Dietitian,"Whitefield, Bangalore",0,0,₹1500
9,Ms. Shalmali Sharma,"MSc - Dietitics / Nutrition, Diploma in Diet and Nutrition",19 Years Experience Overall,Dietitian,"BTM Layout 2nd Stage, Bangalore",86% ,(44 votes),₹1500
10,Ms. Priyanka Wincy R,B.Sc. - Home Science (Food & Nutrition),3 Years Experience Overall,Dietitian,"Koramangala 7 Block, Bangalore",0,0,₹600
11,Ms. Ranjitha K M,"BSc. - Nutrition Food Service Management and Dietetics, M.Sc. - Food and Nutrition",5 Years Experience Overall,Dietitian,"Whitefield, Bangalore",0,0,₹600
12,Dr. Geetha B,"Post Graduate Diploma in Applied Nutrition and Dietetics, BAMS",37 Years Experience Overall  (19 years as specialist),Dietitian,"Basaveshwaranagar, Bangalore",100% ,(28 votes),₹250
13,Ms. Nafeesa Imteyaz,MSc. - Dietetics & Food Service Management,27 Years Experience Overall,Dietitian,"Indiranagar, Bangalore",98% ,(3674 votes),₹1000
14,Dr. K Jyothi Rao,"DHMS (Diploma in Homeopathic Medicine and Surgery), MSc - Clinical Nutrition and Dietetics, MSc - Psychotherapy And Counselling",30 Years Experience Overall  (7 years as specialist),Dietitian,"Indiranagar, Bangalore",0,0,₹500
15,Ms. Dhanalakshmi,M.Sc. - Food and Nutrition,17 Years Experience Overall,Dietitian,"Kodichikkanahalli, Bangalore",100% ,(16 votes),₹750
16,Dr. Sharmila Shankar,"BAMS, Diploma in Clinical Nutrition",22 Years Experience Overall  (19 years as specialist),Dietitian,"Malleswaram, Bangalore",100% ,(95 votes),₹1000
17,Ms. Vani Krishna,MSc - Clinical Nutrition and Dietetics,10 Years Experience Overall,Dietitian,"Whitefield, Bangalore",0,0,₹500
18,Mr. Vishal Kumar Wadi,Diploma in Clinical Nutrition,5 Years Experience Overall  (4 years as specialist),Dietitian,"Rajarajeshwarinagar, Bangalore",97% ,(33 votes),₹1500
19,Ms. Vinny Joglekar,"MSc - Nutrition and Dietetics, B.Sc. - Home Science (Food & Nutrition)",41 Years Experience Overall,Dietitian,"Old Airport Road, Bangalore",99% ,(237 votes),₹600
20,Ms. Phebe Vinodhini,MSc. - Food Service Management & Dietetics,10 Years Experience Overall,Dietitian,"Koramangala 5 Block, Bangalore",100% ,(48 votes),₹500
21,Dr. Bharathi AV   (PhD),"BSc - Dietitics / Nutrition, MSc - Dietitics / Nutrition, PhD - Food Science and Nutrition ",25 Years Experience Overall  (10 years as specialist),Dietitian,"Richmond Town, Bangalore",92% ,(107 votes),₹1500
22,Ms. Shikha Mishra,MSc - Food Science and Nutrition,14 Years Experience Overall  (13 years as specialist),Dietitian,"Sarjapur Road, Bangalore",95% ,(479 votes),₹500
23,Dr. Suguna S   (PhD),M.Sc. - Home Science (Community Health and Nutrition),23 Years Experience Overall  (22 years as specialist),Dietitian,"JP Nagar 5 Phase, Bangalore",100% ,(109 votes),₹2500
24,Ms. Anitha Narayanamurthy,Certification in Health Coaching Nutrition,8 Years Experience Overall  (7 years as specialist),Dietitian,"Sanjay Nagar, Bangalore",92% ,(13 votes),₹700
25,Ms. Uma Trasi,"BSc. - Home Science, MSc - Food and Applied Nutrition",22 Years Experience Overall,Dietitian,"Malleswaram, Bangalore",0,0,₹650
26,Ms. Anwesa Hajra,"BSc - Dietitics / Nutrition, MSc - Applied Nutrition",9 Years Experience Overall,Dietitian,"Whitefield, Bangalore",0,0,₹800
27,Ms. Arpitha,MSc - Food Science and Nutrition,13 Years Experience Overall,Dietitian,"Yeshwanthpur, Bangalore",0,0,₹1000
28,Ms. Anwesha,"BSc - Dietitics / Nutrition, MSc - Applied Nutrition",6 Years Experience Overall,Dietitian,"Whitefield, Bangalore",0,0,₹800
29,Ms. Shazia Makhdoomi,M.Sc. - Home Science (Clinical Nutrition and Dietetics),13 Years Experience Overall,Dietitian,"Vasanthnagar, Bangalore",100% ,(246 votes),₹700
30,Ms. Praseetha,MSc - Food Science and Nutrition,2 Years Experience Overall,Dietitian,"Kaggadasapura, Bangalore",100% ,(15 votes),₹500
31,Dr. T Ramalakshmi   (PhD),"M.Sc. - Home Science (Food & Nutrition), PhD - Home Science (Food and Nutrition)",26 Years Experience Overall  (25 years as specialist),Dietitian,"Kumaraswamy Layout, Bangalore",0,0,₹700
32,Ms. Nida Asgar Ali,M.Sc. - Home Science (Food & Nutrition),7 Years Experience Overall,Dietitian,"Ashoknagar, Bangalore",0,0,₹800
33,Dr. Prajna Bhandary,M.Sc- Dietetics and Applied Nutrition,5 Years Experience Overall,Dietitian,"Ashoknagar, Bangalore",0,0,₹500
34,Dr. Surbhi Gupta Khandelwal,"Diploma in Nutrition and Health Education, DEMS, BHMS",10 Years Experience Overall  (8 years as specialist),Dietitian,"Wakad, Pune",99% ,(71 votes),₹350
35,Ms. Roma Gupta,M.Sc. - Home Science (Food & Nutrition),14 Years Experience Overall  (13 years as specialist),Dietitian,"Kalyani Nagar, Pune",91% ,(33 votes),₹700
36,Ms. Avanti Deshpande,MSc - Dietitics / Nutrition,22 Years Experience Overall,Dietitian,"Erandwane, Pune",97% ,(232 votes),₹3000
37,Ms. Rupal Jasani,B.Sc. - Home Science (Food & Nutrition),15 Years Experience Overall,Dietitian,"Pimple Saudagar, Pune",95% ,(136 votes),₹500
38,Ms. Mayura Mahajani,"MSc. - Food Service Management & Dietetics, DNHE",9 Years Experience Overall,Dietitian,"Kothrud, Pune",0,0,₹1000
39,Ms. Anuja Dharap,MSc - Dietitics / Nutrition,6 Years Experience Overall,Dietitian,"Balewadi, Pune",0,0,₹1500
40,Dr. Amita D Golande,"BHMS, MSc - Dietitics / Nutrition",17 Years Experience Overall  (6 years as specialist),Dietitian,"Sangavi, Pune",100% ,(12 votes),₹700
41,Dr. Deepika Gupta   (PhD),"M.Sc. - Food and Nutrition, BSc - Dietitics / Nutrition",16 Years Experience Overall,Dietitian,"Wakad, Pune",100% ,(95 votes),₹500
42,Dr. Swapnaja Kirunge,"BHMS, MSc. - Dietetics & Food Service Management",14 Years Experience Overall  (8 years as specialist),Dietitian,"Baner Road, Pune",100% ,(130 votes),₹1800
43,Ms. Prachi Rege,MSc - Home Science (Foods Nutrition and Dietetics),20 Years Experience Overall,Dietitian,"Wakad, Pune",100% ,(216 votes),₹1750
44,Ms. Rekha Sachdev,MSc - Food Science and Nutrition,15 Years Experience Overall,Dietitian,"Kondhwa, Pune",86% ,(21 votes),₹299
45,Ms. Prachi Fotani,M.Sc. - Home Science (Food & Nutrition),14 Years Experience Overall,Dietitian,"Kharadi, Pune",100% ,(95 votes),₹800
46,Ms. Geeta Desai,"MSc - Dietitics / Nutrition, BSc - Dietitics / Nutrition",35 Years Experience Overall,Dietitian,"Aundh, Pune",97% ,(106 votes),₹1200
47,Ms. Preeti Singh,"MSc. - Nutrition Sciences, B.Sc. - Home Science (Food & Nutrition)",11 Years Experience Overall,Dietitian,"Kharadi, Pune",95% ,(76 votes),₹500
48,Ms. Neha Pundir,"Post Graduation Diploma in Dietetics, B.Sc. - Home Science (Food & Nutrition)",8 Years Experience Overall,Dietitian,"Dhanori, Pune",100% ,(135 votes),₹1000
49,Ms. Sneha Raje,B.Sc. - Home Science (Food & Nutrition),17 Years Experience Overall,Dietitian,"Dhole Patil Road, Pune",0,0,₹500
50,Ms. Shruti Maheshwary,MSc - Dietitics / Nutrition,12 Years Experience Overall,Dietitian,"Baner, Pune",96% ,(80 votes),₹1300
51,Ms. Shweta Bumb,BSc - Dietitics / Nutrition,18 Years Experience Overall,Dietitian,"Wanowrie, Pune",99% ,(344 votes),₹1000
52,Ms. Rizwana Sayed,Post Graduation Diploma in Dietetics,19 Years Experience Overall,Dietitian,"Viman Nagar, Pune",100% ,(20 votes),₹650
53,Ms. Priyanka Nahar,"Post Graduate Diploma in Sports Nutrition, B.Sc. - Home Science (Food & Nutrition)",12 Years Experience Overall,Dietitian,"Dhole Patil Road, Pune",0,0,₹1000
