,Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
0,Dr. Joshy E V,"MBBS, MD - General Medicine, DM - Neurology",43 Years Experience Overall  (35 years as specialist),Neurologist,"RT Nagar, Bangalore",97% ,(102 votes),₹1500
1,Dr. A.K. Roy,"MBBS, MD - Medicine, DM - Neurology",44 Years Experience Overall  (42 years as specialist),Neurologist,"Old Airport Road, Bangalore",54% ,(57 votes),₹900
2,Dr. Sunil V Furtado,"MBBS, MS - General Surgery, MCh - Neuro Surgery, DNB - Neurosurgery",22 Years Experience Overall  (17 years as specialist),Neurologist,"Sahakaranagar, Bangalore",99% ,(164 votes),₹700
3,Dr. Advait Kulkarni,"DM - Neurology, MBBS",14 Years Experience Overall  (7 years as specialist),Neurologist,"HSR Layout, Bangalore",95% ,(554 votes),₹1200
4,Dr. Karthik Nagaraj,"MBBS, MD - General Medicine, DM - Neurology",18 Years Experience Overall  (10 years as specialist),Neurologist,"Bannerghatta Road, Bangalore",0,0,₹1000
5,Dr. Abdul Aziz Riyaz,"MBBS, MS - General Surgery, MCh - Neuro Surgery",10 Years Experience Overall  (4 years as specialist),Neurologist,"BTM Layout 2nd Stage, Bangalore",87% ,(45 votes),₹800
6,Dr. Deepak Somasundar,"MBBS, MS - General Surgery, DNB - Neurosurgery",13 Years Experience Overall  (5 years as specialist),Neurologist,"Yelahanka New Town, Bangalore",99% ,(69 votes),₹700
7,Dr. Sunil Buddappa,"MBBS, MS - General Surgery, MCh - Neuro Surgery",12 Years Experience Overall  (3 years as specialist),Neurologist,"Sahakaranagar, Bangalore",0,0,₹1300
8,Dr. Aniruddh T Jagannath,"MCh - Neuro Surgery, MBBS",19 Years Experience Overall  (12 years as specialist),Neurologist,"MG Road, Bangalore",100% ,(86 votes),₹1000
9,Dr. Sabyasachi Basu,"MBBS, MS - General Surgery, MCh - Neuro Surgery",16 Years Experience Overall  (8 years as specialist),Neurologist,"Koramangala 5 Block, Bangalore",0,0,₹1250
10,Dr. P.R. Krishnan,"MBBS, MD - General Medicine, DM - Neurology, DNB - Neurology",29 Years Experience Overall  (20 years as specialist),Neurologist,"Bannerghatta Road, Bangalore",89% ,(229 votes),₹900
11,Dr. R. Srinivasa,"MBBS, MD - Medicine, DM - Neurology",44 Years Experience Overall  (41 years as specialist),Neurologist,"Hebbal, Bangalore",97% ,(1561 votes),₹900
12,Dr. Ravishankar Reddy C. R.,"MBBS, MD - General Medicine, DNB - Neurology",29 Years Experience Overall  (14 years as specialist),Neurologist,"Koramangala 1 Block, Bangalore",88% ,(924 votes),₹1000
