,Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
0,Dr. Lathiesh Kumar Kambham,"MBBS, MD - Pediatrics, DM - Neonatology",13 Years Experience Overall  (9 years as specialist),Pediatrician,"Whitefield, Bangalore",81% ,(31 votes),₹700
1,Dr. Vikram Gagneja,"MBBS, DNB - Paediatrics, Post Doctoral fellowship in Pediatric Critical Care Medicine",18 Years Experience Overall  (14 years as specialist),Pediatrician,"Dwarka Sector 6, Delhi",98% ,(94 votes),₹900
2,Dr. Manu Chaudhary,"MBBS, Postdoctoral Fellowship Training Program in Pediatric Infectious Diseases",11 Years Experience Overall  (5 years as specialist),Pediatrician,"Marathahalli, Bangalore",91% ,(11 votes),₹850
3,Dr. Venkatesh H.A,"MBBS, DNB - Paediatrics, Fellowship in Neonatology",31 Years Experience Overall  (21 years as specialist),Pediatrician,"Old Airport Road, Bangalore",100% ,(31 votes),₹900
4,Dr. Deepa Mohan Sharma,"MBBS, MD - Pediatrics",14 Years Experience Overall  (10 years as specialist),Pediatrician,"Indiranagar, Bangalore",95% ,(19 votes),₹1000
5,Dr. Satheesh.S,"MBBS, MD - Pediatrics",24 Years Experience Overall  (18 years as specialist),Pediatrician,"Richmond Town, Bangalore",0,0,₹1600
6,Dr. Tejaswini Nayak,"MBBS, Diploma in Paediatrics",27 Years Experience Overall  (20 years as specialist),Pediatrician,"Bellandur, Bangalore",96% ,(537 votes),₹800
7,Dr. B Naresh Goud,"MBBS, MD - Pediatrics",9 Years Experience Overall  (4 years as specialist),Pediatrician,"Medchal, Hyderabad",0,0,₹300
8,Dr. Sravanthi Reddy,"MD - Pediatrics, MBBS",10 Years Experience Overall  (4 years as specialist),Pediatrician,"Thanisandra, Bangalore",0,0,₹300
9,Dr. P Sameera Reddy,"MBBS, DNB - Paediatrics",22 Years Experience Overall,Pediatrician,"Jayanagar 9 Block, Bangalore",99% ,(198 votes),₹650
10,Dr. Tanuja Mishra,"MBBS, MD - Pediatrics",25 Years Experience Overall  (19 years as specialist),Pediatrician,"Marathahalli, Bangalore",90% ,(40 votes),₹850
11,Dr. Prasanna Muniyappa,"MBBS, DNB - Paediatrics, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh), MD - Pediatrics",26 Years Experience Overall  (23 years as specialist),Pediatrician,"Malleswaram, Bangalore",95% ,(176 votes),₹850
12,Dr. Prashanth M R,"MBBS, Diploma in Child Health (DCH)",13 Years Experience Overall  (4 years as specialist),Pediatrician,"Indiranagar, Bangalore",0,0,₹650
13,Dr. Latha Kanchi Parthasarathy,"MBBS, Diploma in Child Health (DCH), Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",25 Years Experience Overall  (20 years as specialist),Pediatrician,"Thousand Lights, Chennai",0,0,₹700
14,Dr. Srinivas,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics",21 Years Experience Overall,Pediatrician,"Thousand Lights, Chennai",100% ,(25 votes),₹700
15,Dr. Daga J N,"MBBS, MD - Pediatrics",56 Years Experience Overall  (44 years as specialist),Pediatrician,"Thousand Lights, Chennai",0,0,₹800
16,Dr. Vidyut Bhatia,"MBBS, MD - Pediatrics",25 Years Experience Overall  (20 years as specialist),Pediatrician,"Saket, Delhi",0,0,₹1000
17,Dr. Arul Selvi,"MBBS, DNB - Pediatrics",16 Years Experience Overall  (13 years as specialist),Pediatrician,"Indiranagar, Bangalore",100% ,(19 votes),₹800
18,Dr. Atish Narayanrao Bakane,"DNB - Paediatrics, Diploma in Child Health (DCH), MBBS, FNB -  Pediatric Hematology Oncology",12 Years Experience Overall  (4 years as specialist),Pediatrician,"Sarita Vihar, Delhi",0,0,₹1000
19,Dr. D Suchitra,"MBBS, MD - Pediatrics",18 Years Experience Overall  (10 years as specialist),Pediatrician,"East Marredpally, Hyderabad",0,0,₹600
20,Dr. Kalaivani Ganesan,"MBBS, MD - Pediatrics",16 Years Experience Overall  (11 years as specialist),Pediatrician,"Chetpet, Chennai",0,0,₹500
21,Dr. Anuja Bharti,"MBBS, DNB - Paediatrics",11 Years Experience Overall  (7 years as specialist),Pediatrician,"Sholinganallur, Chennai",100% ,(32 votes),₹800
22,Dr. Deenadayalan M,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics",27 Years Experience Overall  (23 years as specialist),Pediatrician,"Chromepet, Chennai",0,0,₹600
