,Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
0,Dr. Mahesh Babu,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",13 Years Experience Overall  (8 years as specialist),Urologist,"Whitefield, Bangalore",100% ,(18 votes),₹599
1,Dr. Udaybhaskar M,"MBBS, MS - General Surgery, MCh - Urology",17 Years Experience Overall  (10 years as specialist),Urologist,"Jayanagar, Bangalore",76% ,(45 votes),₹499
2,Dr. Nipun A C,"MBBS, MS - General Surgery, MCh - Urology",17 Years Experience Overall  (6 years as specialist),Urologist,"Sahakaranagar, Bangalore",86% ,(21 votes),₹499
3,Dr. Prathik R,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",9 Years Experience Overall  (3 years as specialist),Urologist,"Seshadripuram, Bangalore",98% ,(46 votes),₹600
4,Dr. Giriraja Velayutham,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",19 Years Experience Overall  (6 years as specialist),Urologist,"Yeshwanthpur, Bangalore",100% ,(38 votes),₹600
5,Dr. Avinash T S,"MBBS, DNB - General Surgery, MCh - Urology",21 Years Experience Overall  (14 years as specialist),Urologist,"Yeshwanthpur, Bangalore",98% ,(91 votes),₹600
6,Dr. Saurabh Vashistha,"MBBS, DNB - General Surgery, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MCh - Urology",10 Years Experience Overall  (9 years as specialist),Urologist,"Old Airport Road, Bangalore",29% ,(14 votes),₹900
7,Dr. Pramod Shivaram Bhat,"MBBS, MS - General Surgery, MCh - Urology",16 Years Experience Overall  (12 years as specialist),Urologist,"Sarjapur Road, Bangalore",0,0,₹600
8,Dr. Sukesh Sindhey S,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",14 Years Experience Overall  (3 years as specialist),Urologist,"Banashankari 3rd Stage, Bangalore",0,0,₹400
9,Dr. Nagasubramanyam S,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",39 Years Experience Overall  (34 years as specialist),Urologist,"Jayanagar 9 Block, Bangalore",96% ,(212 votes),₹750
10,Dr. Anand Arumugam,"MBBS, MS - General Surgery, MCh - Urology",18 Years Experience Overall  (14 years as specialist),Urologist,"Bannerghatta Road, Bangalore",94% ,(804 votes),₹850
11,Dr. Venkatesh Krishnamoorthy,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery, FRCS - General Surgery",37 Years Experience Overall  (32 years as specialist),Urologist,"Padmanabhanagar, Bangalore",98% ,(315 votes),₹750
12,Dr. Sriharsha Ajjur,"MS - General Surgery, MCh - Urology, MBBS",18 Years Experience Overall  (12 years as specialist),Urologist,"Jayanagar, Bangalore",96% ,(279 votes),₹1250
13,Dr. Maneesh Sinha,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MCh - Urology",29 Years Experience Overall  (25 years as specialist),Urologist,"Padmanabhanagar, Bangalore",93% ,(135 votes),₹750
14,Dr. Kumar Prabhu,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",25 Years Experience Overall  (14 years as specialist),Urologist,"Padmanabhanagar, Bangalore",89% ,(85 votes),₹750
15,Dr. Sanjeev S Tonshal,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",20 Years Experience Overall  (9 years as specialist),Urologist,"Hebbal, Bangalore",94% ,(53 votes),₹900
16,Dr. Pramod K,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",13 Years Experience Overall  (5 years as specialist),Urologist,"Padmanabhanagar, Bangalore",97% ,(63 votes),₹750
17,Dr. Premkumar K,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",17 Years Experience Overall  (9 years as specialist),Urologist,"Rajajinagar, Bangalore",98% ,(40 votes),₹630
18,Dr. Govardhan Reddy,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MRCS (UK)",28 Years Experience Overall  (17 years as specialist),Urologist,"Hebbal, Bangalore",80% ,(35 votes),₹900
19,Dr. Rajeev Bashetty,"MBBS, MS - General Surgery, MCh - Urology",20 Years Experience Overall  (14 years as specialist),Urologist,"HSR Layout, Bangalore",95% ,(745 votes),₹900
20,Dr. Deepak Bolbandi,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",29 Years Experience Overall  (21 years as specialist),Urologist,"Bannerghatta Road, Bangalore",69% ,(39 votes),₹850
21,Dr. Girish H,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",21 Years Experience Overall  (15 years as specialist),Urologist,"Bannerghatta Road, Bangalore",0,0,₹850
