Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
Dr. Parameshwara C M,"MBBS, MS - General Surgery",28 Years Experience Overall  (22 years as specialist),Ophthalmologist,"HBR Layout, Bangalore",94%,(138 votes),₹700
Dr. Shiva Kumar,"MBBS, DNB - General Surgery",10 Years Experience Overall,Ophthalmologist,"HSR Layout, Bangalore",72%,(18 votes),₹499
Dr. Vamsi Krishna M,"MBBS, MS - General Surgery",24 Years Experience Overall  (16 years as specialist),Ophthalmologist,"Whitefield, Bangalore",0,0,₹500
Dr. Vijay C R Reddy,"MS - General Surgery, MBBS",27 Years Experience Overall  (21 years as specialist),Ophthalmologist,"HSR Layout, Bangalore",92%,(26 votes),₹599
Dr. Maruthesh Gowda,"MBBS, FRCS - General Surgery, MRCS (UK)",18 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Hegde Nagar, Bangalore",95%,(1116 votes),₹600
Dr. Mahesh Chikkachannappa,"MBBS, MS - General Surgery",23 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Hebbal, Bangalore",90%,(20 votes),₹900
Dr. Kiran K J,"MBBS, MS - General Surgery",18 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Konanakunte, Bangalore",91%,(58 votes),₹500
Dr. Gautham S L,"MS - General Surgery, MBBS",14 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Arekere, Bangalore",99%,(160 votes),₹500
Dr. Praveen S,"MBBS, MS - General Surgery",15 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Hebbal, Bangalore",0,0,₹800
Dr. Priyanka Akhilesh Sali,"MBBS, DNB - General Surgery",14 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Indiranagar, Bangalore",91%,(11 votes),₹599
Dr. Prashanth J.V,"MBBS, MS - General Surgery",27 Years Experience Overall  (21 years as specialist),Ophthalmologist,"BTM Layout 1st Stage, Bangalore",97%,(68 votes),₹700
Dr. Nanda Rajaneesh,"MBBS, MS - General Surgery, Training in Surgical Oncology (G.I. Oncology)",27 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Koramangala 5 Block, Bangalore",84%,(193 votes),₹600
Dr. Ravishankar Bhat,"MBBS, MS - General Surgery, DNB - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",31 Years Experience Overall  (26 years as specialist),Ophthalmologist,"Bannerghatta Road, Bangalore",94%,(174 votes),₹850
Dr. H V Shivaram,"MBBS, MS - General Surgery, FRCS - General Surgery (Upper GI)",39 Years Experience Overall  (30 years as specialist),Ophthalmologist,"Hebbal, Bangalore",95%,(38 votes),₹900
Dr. Abdul Razack.G.S,"MBBS, MS - General Surgery",20 Years Experience Overall  (14 years as specialist),Ophthalmologist,"Jayanagar 9 Block, Bangalore",82%,(17 votes),₹650
Dr. Saurabh Misra,"MBBS, MS - General Surgery, FICS",26 Years Experience Overall  (23 years as specialist),Ophthalmologist,"Bannerghatta Road, Bangalore",85%,(13 votes),₹1000
Dr. Manas Ranjan Tripathy,"MBBS, MS - General Surgery",17 Years Experience Overall  (11 years as specialist),Ophthalmologist,"HSR Layout, Bangalore",97%,(149 votes),₹750
Dr. Muralidhar S. Kathalagiri,"MBBS, MS - General Surgery",20 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Yeshwanthpur, Bangalore",97%,(178 votes),₹500
Dr. Sumit Talwar,"MBBS, MS - General Surgery",29 Years Experience Overall  (26 years as specialist),Ophthalmologist,"Old Airport Road, Bangalore",90%,(21 votes),₹750
Dr. Sunil Kumar B Alur,"MBBS, DNB - General Surgery",24 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Jayanagar, Bangalore",98%,(46 votes),₹499
Dr. Ramesh Makam,"MBBS, DNB - General Surgery",33 Years Experience Overall  (32 years as specialist),Ophthalmologist,"Bannerghatta Road, Bangalore",91%,(44 votes),₹850
Dr. C.Prashanth,"MBBS, MS - General Surgery",29 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Koramangala 5 Block, Bangalore",0,0,₹650
Dr. Manish Joshi,"MBBS, MS - General Surgery, MRCS (UK), DNB - Surgical Gastroenterology",22 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Sampangiramnagar, Bangalore",88%,(42 votes),₹900
Dr. Anand N S,"MBBS, DNB - General Surgery, Fellowship in Minimal Invasive Surgery",19 Years Experience Overall  (14 years as specialist),Ophthalmologist,"Yeshwanthpur, Bangalore",0,0,₹950
Dr. Sampath Kumar,"DNB - General Surgery, MBBS",22 Years Experience Overall,Ophthalmologist,"Old Airport Road, Bangalore",68%,(19 votes),₹750
Dr. Sreedhara V Setty,"MBBS, DNB - General Surgery",19 Years Experience Overall,Ophthalmologist,"Electronics City, Bangalore",96%,(72 votes),₹650
Dr. Vineet Mannan,"MBBS, MS - General Surgery",15 Years Experience Overall  (9 years as specialist),Ophthalmologist,"HRBR Layout, Bangalore",0,0,₹600
Dr. G. Moinoddin,"MS - General Surgery, MBBS",12 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Millers Road, Bangalore",100%,(12 votes),₹1000
Dr. Ramraj V N,"MBBS, DNB - General Surgery, Fellow of American College of Surgeons(FACS)",12 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Richmond Town, Bangalore",0,0,₹600
Dr. G. H. Raju,"MBBS, MS - General Surgery",24 Years Experience Overall,Ophthalmologist,"Bannerghatta Road, Bangalore",88%,(17 votes),₹850
Dr. Kumar S S,"MS - General Surgery, MBBS",16 Years Experience Overall  (11 years as specialist),Ophthalmologist,"HBR Layout, Bangalore",0,0,₹600
Dr. Manohar S,"MBBS, DNB - General Surgery",13 Years Experience Overall  (4 years as specialist),Ophthalmologist,"Vasanthnagar, Bangalore",0,0,₹400
Dr. Girish Bapat,"MBBS, MS - General Surgery, FRCS - General Surgery (Upper GI), FRCS - General Surgery",29 Years Experience Overall  (25 years as specialist),Ophthalmologist,"Kothrud, Pune",95%,(420 votes),₹1000
Dr. Abhijit A Whatkar,"MBBS, DNB - General Surgery, FCPS - General Surgery",14 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Kharadi, Pune",99%,(118 votes),₹700
Dr. Mustafa  Shakir,"MBBS, DNB - General Surgery, MRCS (UK), FICS",22 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Undri, Pune",100%,(65 votes),₹500
Dr. Pushparaj S. Karmarkar,"MBBS, MS - General Surgery",38 Years Experience Overall  (35 years as specialist),Ophthalmologist,"Kothrud, Pune",97%,(193 votes),₹700
Dr. Narendra Chopde,"MBBS, MS - General Surgery",13 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Kharadi, Pune",0,0,₹700
Dr. Jayashree Todkar,"MBBS, MS - General Surgery",30 Years Experience Overall  (27 years as specialist),Ophthalmologist,"Dhole Patil Road, Pune",95%,(111 votes),₹1000
