,Name,Degree,Years_Of_Experience,Speciality_of_doctor,Location,City,dp_score,npv,consultation_fee
0,Dr. M Diwakar,"MBBS, M.D. (Psychiatry)",28 Years Experience Overall  (19 years as specialist),Psychiatrist,"Cox Town, Bangalore",Bangalore,98%,(182 votes),₹900
1,Dr. Safiya M.S,"MBBS, Diploma in Psychiatry",17 Years Experience Overall  (13 years as specialist),Psychiatrist,"Sahakaranagar, Bangalore",Bangalore,97%,(2664 votes),₹1500
2,Dr. Manjunath H,"DPM (Psychiatry), MBBS",23 Years Experience Overall  (9 years as specialist),Psychiatrist,"Indiranagar, Bangalore",Bangalore,64%,(22 votes),₹750
3,Dr. Vijay Mehtry,"MBBS, M.D. (Psychiatry)",14 Years Experience Overall  (9 years as specialist),Psychiatrist,"JP Nagar 7 Phase, Bangalore",Bangalore,98%,(191 votes),₹800
4,Dr. Sony Mathews Lukose,"MBBS, M.D. (Psychiatry)",12 Years Experience Overall  (6 years as specialist),Psychiatrist,"Sahakaranagar, Bangalore",Bangalore,0,0,₹1500
5,Dr. Sumanth T P,"M.D. (Psychiatry), MBBS",16 Years Experience Overall  (11 years as specialist),Psychiatrist,"Chandra Layout, Bangalore",Bangalore,95%,(21 votes),₹1000
6,Dr. Dhruva Ithal,"MBBS, M.D. (Psychiatry)",10 Years Experience Overall  (7 years as specialist),Psychiatrist,"Yelahanka, Bangalore",Bangalore,0,0,₹1000
7,Dr. Ashok Shetty,"MBBS, M.D. (Psychiatry)",23 Years Experience Overall  (6 years as specialist),Psychiatrist,"Vijayanagar, Bangalore",Bangalore,96%,(56 votes),₹900
8,Dr. Meena Gnanasekharan,"MBBS, CCT- Child and Adolescent Psychiatry, Diplomate of American Board of Psychiatry and Neurology, M.D. (Psychiatry)",27 Years Experience Overall  (17 years as specialist),Psychiatrist,"Hebbal, Bangalore",Bangalore,85%,(398 votes),₹2830
9,Dr. Shobha Krishna,"MBBS, MRCPsych",30 Years Experience Overall  (16 years as specialist),Psychiatrist,"Jayanagar, Bangalore",Bangalore,96%,(219 votes),₹1500
10,Dr. D. Akshatha Gowda,"MBBS, M.D. (Psychiatry)",8 Years Experience Overall  (4 years as specialist),Psychiatrist,"Vijayanagar, Bangalore",Bangalore,92%,(13 votes),₹800
11,Dr. Kapur B,"MBBS, M.D. (Psychiatry)",44 Years Experience Overall,Psychiatrist,"Hebbal, Bangalore",Bangalore,91%,(32 votes),₹2130
12,Dr. Shilpa Sri S.K,"MBBS, DPM (Psychiatry)",18 Years Experience Overall  (12 years as specialist),Psychiatrist,"Basaveshwaranagar, Bangalore",Bangalore,98%,(169 votes),₹850
13,Dr. Kiran Kumar K,"MBBS, M.D. (Psychiatry)",18 Years Experience Overall  (12 years as specialist),Psychiatrist,"Marathahalli, Bangalore",Bangalore,97%,(374 votes),₹800
14,Dr. Ravi Prakash,"MBBS, DPM (Psychiatry), MD - Physiology",18 Years Experience Overall  (14 years as specialist),Psychiatrist,"Mathikere - BEL, Bangalore",Bangalore,94%,(509 votes),₹1200
